number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
18,39.200405962621275,2024-07-10 18:47:40.100829,2024-07-10 18:47:41.213230,0 days 00:00:01.112401,0.5291043679231336,0.07699774905175388,5,4,4.467702357872328,142,17,9.933593456561033,4.498032661395864,COMPLETE,"{'mse': 1584.341982281909, 'rmse': 39.803793566466865, 'mae': 30.098322376294362, 'mdae': 23.362614097638453, 'r2': 0.4696706707903894}","{'mse': 1506.7547168015276, 'rmse': 38.81693852948127, 'mae': 29.923305363734908, 'mdae': 23.12512612765938, 'r2': 0.4508360970348978}","{'mse': 1560.699263269058, 'rmse': 39.50568646750817, 'mae': 30.447079870208558, 'mdae': 24.197266753593446, 'r2': 0.43801582290104824}","{'mse': 1526.3745273061706, 'rmse': 39.068843434457726, 'mae': 30.008909240067783, 'mdae': 23.78136151890131, 'r2': 0.44545822350772457}","{'mse': 1505.965228262248, 'rmse': 38.80676781519234, 'mae': 29.52943778354788, 'mdae': 22.774908634669856, 'r2': 0.47627683331261506}",1536.8271435841827,39.200405962621275,30.0014109267707,23.448255426492487,0.4560515295093349,34.6179283454099,0.4406188118276316,0.33050264287780723,0.5561295981953092,0.016273056750098172
19,40.59511319793721,2024-07-10 18:47:41.214229,2024-07-10 18:47:44.108113,0 days 00:00:02.893884,0.6722856035539458,0.13523875793990633,7,7,2.0511021129465488,394,26,6.995952801732883,5.9752295506473985,COMPLETE,"{'mse': 1713.5202037583713, 'rmse': 41.39468811041305, 'mae': 31.26012865831117, 'mdae': 23.985417741262275, 'r2': 0.4264306378238748}","{'mse': 1620.3997351467165, 'rmse': 40.25418903849283, 'mae': 30.71932246268254, 'mdae': 23.05745785169731, 'r2': 0.4094161226149967}","{'mse': 1638.420842036249, 'rmse': 40.47741150365533, 'mae': 30.877737376303255, 'mdae': 23.825997557064518, 'r2': 0.4100294590228324}","{'mse': 1648.8024786429028, 'rmse': 40.60544887872689, 'mae': 30.787532213059674, 'mdae': 23.741604148744273, 'r2': 0.40097935386463646}","{'mse': 1619.5657289889598, 'rmse': 40.243828458397935, 'mae': 30.37847038026151, 'mdae': 23.047012249697097, 'r2': 0.43677046698932465}",1648.14179771464,40.59511319793721,30.804638218123632,23.531497909693098,0.41672520806313307,38.58588859527079,0.4724697891191005,0.3170194976624523,0.4461945256298869,0.014510302219439762
20,39.23150648560875,2024-07-10 18:47:44.109115,2024-07-10 18:47:46.999168,0 days 00:00:02.890053,0.8583595382004592,0.03307706808846572,10,7,3.645175261219952,466,13,5.510076361448681,8.211053804930986,COMPLETE,"{'mse': 1589.9832012441134, 'rmse': 39.874593430455356, 'mae': 30.158306178145228, 'mdae': 23.29807269236816, 'r2': 0.46778237653220056}","{'mse': 1521.886190981764, 'rmse': 39.01135976842853, 'mae': 30.054895898190047, 'mdae': 23.76849909479265, 'r2': 0.44532115865390265}","{'mse': 1549.2290486522693, 'rmse': 39.36024706035608, 'mae': 30.342001921861144, 'mdae': 23.73652388266621, 'r2': 0.44214607353566593}","{'mse': 1529.5133630532162, 'rmse': 39.10899337816324, 'mae': 30.036183581939806, 'mdae': 23.603861159850382, 'r2': 0.4443178641004196}","{'mse': 1505.621495623647, 'rmse': 38.80233879064053, 'mae': 29.59622708119833, 'mdae': 22.97647786746603, 'r2': 0.47639637176051786}",1539.2466599110019,39.23150648560875,30.03752293226691,23.476686939428685,0.45519276891654126,32.4060925365306,0.41164119789081205,0.2749280312935716,0.33576592231634644,0.015764037377682234
21,39.233831867401946,2024-07-10 18:47:47.000168,2024-07-10 18:47:48.141275,0 days 00:00:01.141107,0.5461400247580652,0.07258740267891839,5,4,4.521363727074188,134,18,9.923051570744548,4.493310838410773,COMPLETE,"{'mse': 1593.3779947990736, 'rmse': 39.917139110901644, 'mae': 30.08841383176539, 'mdae': 22.95432124053008, 'r2': 0.466646031848451}","{'mse': 1495.5855929890593, 'rmse': 38.672801721481974, 'mae': 29.792164672744338, 'mdae': 23.343956490518586, 'r2': 0.45490688543672597}","{'mse': 1561.398131432706, 'rmse': 39.514530636624116, 'mae': 30.425342504006277, 'mdae': 24.601267433331053, 'r2': 0.43776417105556353}","{'mse': 1539.3420373903173, 'rmse': 39.234449625174015, 'mae': 30.105220833264834, 'mdae': 23.775683211428436, 'r2': 0.4407470428963477}","{'mse': 1507.7874019947817, 'rmse': 38.830238242827996, 'mae': 29.518487629649638, 'mdae': 22.91779045128196, 'r2': 0.47564314364996707}",1539.4982317211875,39.233831867401946,29.985925894286094,23.518603765418025,0.455141454977411,39.73838017499017,0.5058022360850101,0.3441888867004484,0.697879562737509,0.01629339318510312
22,39.178611353891135,2024-07-10 18:47:48.142271,2024-07-10 18:47:49.205016,0 days 00:00:01.062745,0.5058591474271008,0.07207565575661787,5,4,4.586084666828139,121,21,8.606880246735875,3.8520523605157253,COMPLETE,"{'mse': 1590.6252525807467, 'rmse': 39.88264350040938, 'mae': 30.088936877750562, 'mdae': 22.664534535516943, 'r2': 0.46756746165998053}","{'mse': 1514.4018353797712, 'rmse': 38.9153162055735, 'mae': 30.00045414645009, 'mdae': 23.24647436331043, 'r2': 0.4480489668948444}","{'mse': 1548.051012947851, 'rmse': 39.34527942393917, 'mae': 30.279670571242786, 'mdae': 24.326590186940958, 'r2': 0.44257026635841}","{'mse': 1520.8570274922843, 'rmse': 38.998166976055224, 'mae': 29.893823579993235, 'mdae': 23.428670030909746, 'r2': 0.447462767015135}","{'mse': 1501.690429144267, 'rmse': 38.751650663478415, 'mae': 29.503978182601042, 'mdae': 22.8543719576584, 'r2': 0.4777634621464062}",1535.125111508984,39.178611353891135,29.953372671607543,23.304128214867298,0.4566825848149552,35.34916889708155,0.4493382491738617,0.28834273860651094,0.6472294570789272,0.015178816355914735
23,43.64943481310094,2024-07-10 18:47:49.206017,2024-07-10 18:47:49.886640,0 days 00:00:00.680623,0.5910129461943008,0.015310537446248385,3,5,4.688049030280015,62,22,8.906537753333511,3.413521579745095,COMPLETE,"{'mse': 1994.4083419995854, 'rmse': 44.65879915536898, 'mae': 34.843624413882274, 'mdae': 28.916679223879804, 'r2': 0.3324085014402579}","{'mse': 1864.7521793864023, 'rmse': 43.182776420540655, 'mae': 34.408407357002574, 'mdae': 29.54622933446558, 'r2': 0.32035747193920516}","{'mse': 1875.7442388834418, 'rmse': 43.30986306701329, 'mae': 34.35139775581159, 'mdae': 30.12347810960739, 'r2': 0.3245728966841439}","{'mse': 1880.725059854775, 'rmse': 43.36732710065004, 'mae': 34.5173268428512, 'mdae': 29.136318131896825, 'r2': 0.31672037424127697}","{'mse': 1912.1736943695853, 'rmse': 43.728408321931695, 'mae': 34.91991246552752, 'mdae': 29.959769615773624, 'r2': 0.3350114307571762}",1905.5607028987579,43.64943481310094,34.60813376701503,29.536494883124647,0.325814135012412,52.69914826879888,0.5995241817582265,0.2582206989134035,0.5167490809576822,0.00777959264753069
24,39.22472371750908,2024-07-10 18:47:49.887640,2024-07-10 18:47:51.093690,0 days 00:00:01.206050,0.6327908074565984,0.039242920749595706,6,3,4.1747211925729495,105,20,8.39492963925648,6.6461311946486,COMPLETE,"{'mse': 1580.9111945020502, 'rmse': 39.76067396941418, 'mae': 30.194791739682636, 'mdae': 23.005303353684393, 'r2': 0.47081906387868744}","{'mse': 1504.0820830192172, 'rmse': 38.78249712201649, 'mae': 30.036120297574158, 'mdae': 24.392699073222943, 'r2': 0.4518101865683326}","{'mse': 1551.1884611025828, 'rmse': 39.385129949037655, 'mae': 30.551115416679924, 'mdae': 25.18184130808093, 'r2': 0.4414405187760767}","{'mse': 1540.673390200209, 'rmse': 39.25141258859621, 'mae': 30.168632144476458, 'mdae': 23.325908672287916, 'r2': 0.4402633537760646}","{'mse': 1516.627733415192, 'rmse': 38.943904958480886, 'mae': 29.796758041508124, 'mdae': 23.354918794746553, 'r2': 0.47256877893079907}",1538.69657244785,39.22472371750908,30.149483527984263,23.85213424040455,0.4553803803859921,30.113227743059806,0.3834412160466539,0.2743146771487797,0.9085139408606089,0.01556747018342454
25,39.5681125235234,2024-07-10 18:47:51.094689,2024-07-10 18:47:53.312580,0 days 00:00:02.217891,0.5004668973013016,0.07996018384935985,7,6,2.663742318564287,286,26,7.661016752501415,2.401429895888181,COMPLETE,"{'mse': 1634.610294310599, 'rmse': 40.43031405159499, 'mae': 30.56140042704592, 'mdae': 23.58760361219917, 'r2': 0.45284427819535233}","{'mse': 1528.1597972783845, 'rmse': 39.0916845029526, 'mae': 29.831697101309942, 'mdae': 23.02699730852502, 'r2': 0.4430346298107529}","{'mse': 1579.9099501915248, 'rmse': 39.748081088167325, 'mae': 30.424235098254375, 'mdae': 23.851429624006393, 'r2': 0.4310983453730495}","{'mse': 1550.2815268530364, 'rmse': 39.37361460233282, 'mae': 30.120871972188496, 'mdae': 23.804191292664342, 'r2': 0.4367726553446365}","{'mse': 1536.3944902165224, 'rmse': 39.196868372569284, 'mae': 29.824328468189275, 'mdae': 22.573150595224575, 'r2': 0.4656945774068517}",1565.8712117700134,39.5681125235234,30.1525066133976,23.3686744865239,0.4458888972261287,43.17468534135822,0.5427742346084343,0.3363966813470195,0.5523266535436139,0.01369904581063127
26,39.78981180647121,2024-07-10 18:47:53.313580,2024-07-10 18:47:55.038384,0 days 00:00:01.724804,0.5735089925258391,0.1230431422584487,4,3,4.70921970743793,445,15,9.151874160177107,8.232357036824332,COMPLETE,"{'mse': 1645.1845145880418, 'rmse': 40.56087418421898, 'mae': 30.776191872157728, 'mdae': 24.290304027287675, 'r2': 0.44930475250622426}","{'mse': 1550.1212664600803, 'rmse': 39.37157942552064, 'mae': 30.18564063451511, 'mdae': 23.469368510025323, 'r2': 0.4350303766989596}","{'mse': 1598.060590225622, 'rmse': 39.975750027055426, 'mae': 30.657134188250556, 'mdae': 24.02272523829916, 'r2': 0.4245625746813816}","{'mse': 1588.4403859657068, 'rmse': 39.855242891816715, 'mae': 30.414719712934087, 'mdae': 23.628238788792377, 'r2': 0.4229092940642277}","{'mse': 1535.5122272935996, 'rmse': 39.185612503744274, 'mae': 29.844125943243494, 'mdae': 22.41370401588165, 'r2': 0.4660013982571427}",1583.4637969066102,39.78981180647121,30.375562470220196,23.564868116057234,0.4395616792415872,43.180890362234386,0.5416102291022711,0.3741039045609509,0.7201050631919306,0.018143828087655307
27,39.36717275213315,2024-07-10 18:47:55.039387,2024-07-10 18:47:56.282043,0 days 00:00:01.242656,0.5375937787889579,0.0570076829698829,3,5,3.090021187978363,388,7,7.19051397285123,5.428704593819171,COMPLETE,"{'mse': 1596.0429040481267, 'rmse': 39.950505679504566, 'mae': 30.443651218932317, 'mdae': 23.993492707230246, 'r2': 0.46575400250739973}","{'mse': 1532.570016211567, 'rmse': 39.1480525213141, 'mae': 30.352895409079, 'mdae': 23.78112260345785, 'r2': 0.4414272460639024}","{'mse': 1561.3384768920023, 'rmse': 39.51377578632549, 'mae': 30.664731897923968, 'mdae': 24.974793037878335, 'r2': 0.437785651752554}","{'mse': 1533.0512581914327, 'rmse': 39.154198474639124, 'mae': 30.319194554719765, 'mdae': 24.597761371053874, 'r2': 0.4430325238252171}","{'mse': 1526.412648141837, 'rmse': 39.06933129888247, 'mae': 29.98077815207922, 'mdae': 23.68338965697808, 'r2': 0.4691659204648584}",1549.8830606969932,39.36717275213315,30.352250246546852,24.206111875319674,0.45143306892278634,29.137042784279917,0.3687312718948859,0.2475295599344685,0.5575216064346814,0.014802709270485645
