number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,state,fold_0,fold_1,fold_2,fold_3,fold_4,accuracy,balanced_accuracy,precision,recall,f1,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std
10,0.503854862221925,2024-07-10 12:28:56.966856,2024-07-10 12:31:39.913208,0 days 00:02:42.946352,799338782.3687483,0.0026470841444489936,rbf,COMPLETE,"{'accuracy': 0.4957627118644068, 'balanced_accuracy': 0.5013713862051484, 'precision': 0.5002277150222108, 'recall': 0.4957627118644068, 'f1': 0.4963189999109265}","{'accuracy': 0.509180790960452, 'balanced_accuracy': 0.5182637797821944, 'precision': 0.5074518121860414, 'recall': 0.509180790960452, 'f1': 0.5067330077783914}","{'accuracy': 0.5120056497175142, 'balanced_accuracy': 0.5170657743940358, 'precision': 0.5146156014207732, 'recall': 0.5120056497175142, 'f1': 0.5124335225250372}","{'accuracy': 0.5127118644067796, 'balanced_accuracy': 0.5238831678772122, 'precision': 0.5109835060058104, 'recall': 0.5127118644067796, 'f1': 0.5099628713822265}","{'accuracy': 0.4925795053003534, 'balanced_accuracy': 0.4949552780459269, 'precision': 0.49720344420316703, 'recall': 0.4925795053003534, 'f1': 0.4938259095130432}",0.5044481044499012,0.5111078772609036,0.5060964157676006,0.5044481044499011,0.503854862221925,0.009540757711535341,0.012304645961513984,0.007277085033265617,0.009540757711535341,0.008314956758006045
11,0.4935669568501127,2024-07-10 12:31:39.913208,2024-07-10 12:35:46.416530,0 days 00:04:06.503322,442391565.4833952,0.0013101543398482494,rbf,COMPLETE,"{'accuracy': 0.4887005649717514, 'balanced_accuracy': 0.49386808477737576, 'precision': 0.4930138310039339, 'recall': 0.4887005649717514, 'f1': 0.48922727527195886}","{'accuracy': 0.5007062146892656, 'balanced_accuracy': 0.5117451555305519, 'precision': 0.4990886300210335, 'recall': 0.5007062146892656, 'f1': 0.4973495336242861}","{'accuracy': 0.5098870056497176, 'balanced_accuracy': 0.5167922904158564, 'precision': 0.5124814353493651, 'recall': 0.5098870056497176, 'f1': 0.5098073857916517}","{'accuracy': 0.4915254237288136, 'balanced_accuracy': 0.5011161472725271, 'precision': 0.49023790946441814, 'recall': 0.4915254237288136, 'f1': 0.48889246332883096}","{'accuracy': 0.48197879858657244, 'balanced_accuracy': 0.48613251423982723, 'precision': 0.4848369887305755, 'recall': 0.48197879858657244, 'f1': 0.4825581262338358}",0.49455960152522416,0.5019308384472276,0.4959317589138652,0.49455960152522405,0.4935669568501127,0.01089175510879965,0.012574203162038423,0.010581656008956634,0.01089175510879965,0.010487343522978579
12,0.4902169738058729,2024-07-10 12:35:46.416530,2024-07-10 12:40:41.030103,0 days 00:04:54.613573,194624.68574599072,0.0010415720259912345,rbf,COMPLETE,"{'accuracy': 0.4879943502824859, 'balanced_accuracy': 0.4942764961558747, 'precision': 0.49186606818573364, 'recall': 0.4879943502824859, 'f1': 0.488185963529919}","{'accuracy': 0.4943502824858757, 'balanced_accuracy': 0.5049631415705008, 'precision': 0.4927576918171569, 'recall': 0.4943502824858757, 'f1': 0.4910368993110935}","{'accuracy': 0.5049435028248588, 'balanced_accuracy': 0.5121908899261594, 'precision': 0.5077839175795958, 'recall': 0.5049435028248588, 'f1': 0.5048229968276511}","{'accuracy': 0.490819209039548, 'balanced_accuracy': 0.5003948598048055, 'precision': 0.4894819995322264, 'recall': 0.490819209039548, 'f1': 0.48829019887736735}","{'accuracy': 0.4784452296819788, 'balanced_accuracy': 0.4835714500691915, 'precision': 0.48103223442963144, 'recall': 0.4784452296819788, 'f1': 0.4787488104833342}",0.4913105148629494,0.4990793675053064,0.4925843823088688,0.4913105148629494,0.4902169738058729,0.009641737909934705,0.010860759801199153,0.009677923115625191,0.009641737909934705,0.009398994902453611
13,0.21534102145881046,2024-07-10 12:40:41.031103,2024-07-10 12:42:24.406065,0 days 00:01:43.374962,4.266162983020342e-06,0.004851562365499215,rbf,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
14,0.4907992768500173,2024-07-10 12:42:24.406065,2024-07-10 12:44:10.379415,0 days 00:01:45.973350,43242.81176564139,6.6374128680225e-06,rbf,COMPLETE,"{'accuracy': 0.4887005649717514, 'balanced_accuracy': 0.5044616474070379, 'precision': 0.48104726306995665, 'recall': 0.4887005649717514, 'f1': 0.4826209344615129}","{'accuracy': 0.5176553672316384, 'balanced_accuracy': 0.5325117721529096, 'precision': 0.5100287736532225, 'recall': 0.5176553672316384, 'f1': 0.5106184755953204}","{'accuracy': 0.4964689265536723, 'balanced_accuracy': 0.5117743575192301, 'precision': 0.490677705223577, 'recall': 0.4964689265536723, 'f1': 0.49104615968844284}","{'accuracy': 0.4901129943502825, 'balanced_accuracy': 0.503874616371475, 'precision': 0.4794329276413249, 'recall': 0.4901129943502825, 'f1': 0.4808220230262026}","{'accuracy': 0.49681978798586574, 'balanced_accuracy': 0.5131228757882568, 'precision': 0.4884573841426361, 'recall': 0.49681978798586574, 'f1': 0.48888879147860775}",0.4979515282186421,0.5131490538477819,0.4899288107461435,0.497951528218642,0.4907992768500173,0.01160542060528478,0.0116005555537102,0.012204301488903297,0.01160542060528478,0.011863203851453188
15,0.5209136571546304,2024-07-10 12:44:10.380422,2024-07-10 12:45:55.394391,0 days 00:01:45.013969,769995978.7740899,0.040137105747755336,poly,COMPLETE,"{'accuracy': 0.5233050847457628, 'balanced_accuracy': 0.5308537999115036, 'precision': 0.5238568554217, 'recall': 0.5233050847457628, 'f1': 0.5229566027941851}","{'accuracy': 0.509180790960452, 'balanced_accuracy': 0.5173911972573413, 'precision': 0.5071541271451158, 'recall': 0.509180790960452, 'f1': 0.5079049950275183}","{'accuracy': 0.5346045197740112, 'balanced_accuracy': 0.5377410600202239, 'precision': 0.5349465430663657, 'recall': 0.5346045197740112, 'f1': 0.534685245374891}","{'accuracy': 0.528954802259887, 'balanced_accuracy': 0.5347836868720762, 'precision': 0.5302174502428201, 'recall': 0.528954802259887, 'f1': 0.5291786491842249}","{'accuracy': 0.5095406360424029, 'balanced_accuracy': 0.5113900770291241, 'precision': 0.5103798825798612, 'recall': 0.5095406360424029, 'f1': 0.5098427933923325}",0.5211171667565032,0.5264319642180537,0.5213109716911726,0.5211171667565031,0.5209136571546304,0.011452263284495091,0.011458549073668084,0.012161832176413175,0.011452263284495091,0.011767855338002104
16,0.21534102145881046,2024-07-10 12:45:55.394391,2024-07-10 12:47:31.218434,0 days 00:01:35.824043,2.073580090165834e-06,0.057084748309968604,poly,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
17,0.21534102145881046,2024-07-10 12:47:31.219442,2024-07-10 12:49:05.096312,0 days 00:01:33.876870,6176.351761863666,1.4313881178886157e-05,poly,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
18,0.5207748712555527,2024-07-10 12:49:05.097819,2024-07-10 12:50:53.027576,0 days 00:01:47.929757,10245281.563712167,0.046455601236038126,poly,COMPLETE,"{'accuracy': 0.5233050847457628, 'balanced_accuracy': 0.5308537999115036, 'precision': 0.5238568554217, 'recall': 0.5233050847457628, 'f1': 0.5229566027941851}","{'accuracy': 0.509180790960452, 'balanced_accuracy': 0.5173911972573413, 'precision': 0.5071541271451158, 'recall': 0.509180790960452, 'f1': 0.5079049950275183}","{'accuracy': 0.5346045197740112, 'balanced_accuracy': 0.5377410600202239, 'precision': 0.5349465430663657, 'recall': 0.5346045197740112, 'f1': 0.534685245374891}","{'accuracy': 0.5282485875706214, 'balanced_accuracy': 0.5341183508773989, 'precision': 0.5295684673380148, 'recall': 0.5282485875706214, 'f1': 0.5284847196888361}","{'accuracy': 0.5095406360424029, 'balanced_accuracy': 0.5113900770291241, 'precision': 0.5103798825798612, 'recall': 0.5095406360424029, 'f1': 0.5098427933923325}",0.5209759238186501,0.5262988970191184,0.5211811751102114,0.52097592381865,0.5207748712555527,0.011335191022389595,0.011340570110059758,0.012045925513980548,0.011335191022389595,0.011649509260514564
19,0.21534102145881046,2024-07-10 12:50:53.028583,2024-07-10 12:52:33.873105,0 days 00:01:40.844522,0.19156606593535683,0.0001069348628257199,poly,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
