number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_weights,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
26,41.67749022777806,2024-07-10 18:51:57.030007,2024-07-10 18:52:02.617766,0 days 00:00:05.587759,cityblock,8,uniform,COMPLETE,"{'mse': 1789.9865295051259, 'rmse': 42.30823240818654, 'mae': 31.86004064446451, 'mdae': 24.412845668124994, 'r2': 0.40083494213827986}","{'mse': 1728.689641718708, 'rmse': 41.57751365484362, 'mae': 31.71552982178169, 'mdae': 24.356109278750004, 'r2': 0.3699479151611391}","{'mse': 1747.4800104501028, 'rmse': 41.802870839813174, 'mae': 31.71345189639583, 'mdae': 23.899930558125, 'r2': 0.370758903536199}","{'mse': 1683.8182010655746, 'rmse': 41.034353913100354, 'mae': 31.33295032477896, 'mdae': 24.7136423775, 'r2': 0.3882579145520333}","{'mse': 1735.928920581207, 'rmse': 41.66448032294663, 'mae': 31.44832835782341, 'mdae': 24.67577205375001, 'r2': 0.3963033313325045}",1737.1806606641435,41.67749022777806,31.61406020904888,24.41165998725,0.3852206013440312,38.13054136922411,0.4575327551218065,0.21631630658248677,0.3263061612115976,0.014302582465118044
27,43.552932413133234,2024-07-10 18:52:02.618766,2024-07-10 18:52:08.409628,0 days 00:00:05.790862,cityblock,138,distance,COMPLETE,"{'mse': 1972.0151783355204, 'rmse': 44.40737752148308, 'mae': 34.94860113543548, 'mdae': 28.347074284520748, 'r2': 0.3399042009783968}","{'mse': 1841.0027246378258, 'rmse': 42.90690765643483, 'mae': 34.0924363622939, 'mdae': 28.65674865354978, 'r2': 0.3290133886040669}","{'mse': 1894.2257473645527, 'rmse': 43.52270381495792, 'mae': 34.79651868843761, 'mdae': 29.2258616160076, 'r2': 0.3179179852737616}","{'mse': 1885.9701421848022, 'rmse': 43.42775773839587, 'mae': 34.68437924120353, 'mdae': 28.758780958032975, 'r2': 0.31481480177455434}","{'mse': 1892.2426340994843, 'rmse': 43.49991533439444, 'mae': 34.92774012673872, 'mdae': 29.991650332432066, 'r2': 0.34194277140448937}",1897.0912853244372,43.552932413133234,34.68993511082185,28.99602316890863,0.3287186296070538,47.20941890943204,0.540096682879892,0.35066188097713713,0.6396532026129503,0.012349617022993815
28,44.29869165398337,2024-07-10 18:52:08.410629,2024-07-10 18:52:10.176924,0 days 00:00:01.766295,cosine,76,uniform,COMPLETE,"{'mse': 2023.6236380793332, 'rmse': 44.98470449029685, 'mae': 36.1085481368389, 'mdae': 29.93986398098685, 'r2': 0.32262921859229765}","{'mse': 1926.6065916386387, 'rmse': 43.89312692937972, 'mae': 35.21422593926209, 'mdae': 30.184891436315805, 'r2': 0.29781351699466274}","{'mse': 1958.3935031337903, 'rmse': 44.253739990353246, 'mae': 35.71223548713965, 'mdae': 30.49613629585526, 'r2': 0.2948121478642358}","{'mse': 1936.5830218686715, 'rmse': 44.0066247497882, 'mae': 35.47592291705605, 'mdae': 30.43747062513159, 'r2': 0.2964268139569006}","{'mse': 1967.3892768555693, 'rmse': 44.355262110098835, 'mae': 36.04003535397815, 'mdae': 31.194345317631587, 'r2': 0.31580934085008283}",1962.5192063152008,44.29869165398337,35.71019356685496,30.450541531184218,0.30549820765163593,37.87113726698205,0.425916747300478,0.3769458722334862,0.4708649851770329,0.01279968292110521
29,42.09153617884568,2024-07-10 18:52:10.177925,2024-07-10 18:52:15.851688,0 days 00:00:05.673763,cityblock,37,uniform,COMPLETE,"{'mse': 1824.7656942256858, 'rmse': 42.7172762968999, 'mae': 33.25335547915259, 'mdae': 26.647452306621624, 'r2': 0.38919325662909465}","{'mse': 1732.0251722615897, 'rmse': 41.6176065176938, 'mae': 32.59461135454931, 'mdae': 26.77756676797298, 'r2': 0.36873222096024316}","{'mse': 1782.3881563642885, 'rmse': 42.21833910002013, 'mae': 33.26696122468917, 'mdae': 28.146762386081072, 'r2': 0.358189008670905}","{'mse': 1749.0401074952915, 'rmse': 41.82152684318557, 'mae': 33.02918149945713, 'mdae': 27.482582727162146, 'r2': 0.36456237246146916}","{'mse': 1770.9731771992867, 'rmse': 42.08293213642898, 'mae': 33.26986581014724, 'mdae': 27.94535940837838, 'r2': 0.38411613822486257}",1771.8384615092284,42.09153617884568,33.08279507359909,27.39994471924324,0.37295859938931486,35.41962622598837,0.4198863152002975,0.2912049289161012,0.6737288023119455,0.013177200763049344
30,45.06742347074455,2024-07-10 18:52:15.852688,2024-07-10 18:52:21.861316,0 days 00:00:06.008628,cityblock,368,distance,COMPLETE,"{'mse': 2126.550805006583, 'rmse': 46.11454006066398, 'mae': 36.458960288778265, 'mdae': 29.4510258026065, 'r2': 0.2881762431587014}","{'mse': 1965.4785361048926, 'rmse': 44.33371782407711, 'mae': 35.44328484303092, 'mdae': 29.876515933636632, 'r2': 0.2836459364980538}","{'mse': 2026.92755586591, 'rmse': 45.02141219315438, 'mae': 36.1610541177148, 'mdae': 31.177134672606936, 'r2': 0.27013407302024417}","{'mse': 1998.9625444636713, 'rmse': 44.70975893989668, 'mae': 35.94299006697101, 'mdae': 30.299961904855486, 'r2': 0.2737639283690356}","{'mse': 2039.216815845041, 'rmse': 45.15768833593059, 'mae': 36.446284659475786, 'mdae': 31.25864785960747, 'r2': 0.29083018099369273}",2031.4272514572197,45.06742347074455,36.09051479519415,30.412657234662607,0.28131007240794553,60.27562789059984,0.6657638149177476,0.42070483432853867,0.7945137874456559,0.009014991423738112
31,44.020010896194506,2024-07-10 18:52:21.862316,2024-07-10 18:52:27.746307,0 days 00:00:05.883991,cityblock,190,distance,COMPLETE,"{'mse': 2016.986816059569, 'rmse': 44.910876367084725, 'mae': 35.39793076800484, 'mdae': 28.474923640350653, 'r2': 0.3248507726565002}","{'mse': 1872.3630162467339, 'rmse': 43.27081021019521, 'mae': 34.46618574029959, 'mdae': 29.290989873528122, 'r2': 0.31758356532491394}","{'mse': 1938.7722085941698, 'rmse': 44.03149110118995, 'mae': 35.266118650166824, 'mdae': 29.539518652258554, 'r2': 0.30187747897893613}","{'mse': 1922.100454989859, 'rmse': 43.84176610254038, 'mae': 35.06552943463683, 'mdae': 29.40373869085939, 'r2': 0.3016884245390157}","{'mse': 1939.9717765719301, 'rmse': 44.045110699962265, 'mae': 35.36778122605938, 'mdae': 30.16303528868388, 'r2': 0.3253442091204274}",1938.0388544924524,44.020010896194506,35.11270916383349,29.374441229136117,0.31426889012395864,51.972114974255234,0.5889558465723448,0.3841113298694676,0.6054100901309413,0.011805096198176447
32,41.40681958624752,2024-07-10 18:52:27.747308,2024-07-10 18:52:33.442917,0 days 00:00:05.695609,cityblock,29,distance,COMPLETE,"{'mse': 1770.5767769741742, 'rmse': 42.07822212230662, 'mae': 32.60813208345966, 'mdae': 25.672904146703477, 'r2': 0.40733199968960376}","{'mse': 1679.2202362759097, 'rmse': 40.97828981638826, 'mae': 31.918533877567494, 'mdae': 26.131286822871488, 'r2': 0.3879779312396676}","{'mse': 1722.2687339186116, 'rmse': 41.500225709249, 'mae': 32.44247929213533, 'mdae': 26.46625359634556, 'r2': 0.37983710253879666}","{'mse': 1698.3909722286878, 'rmse': 41.21153930913874, 'mae': 32.386959005808215, 'mdae': 27.237550723365313, 'r2': 0.38296353216773704}","{'mse': 1702.867980671007, 'rmse': 41.265820974154956, 'mae': 32.27529087454234, 'mdae': 26.794085283594455, 'r2': 0.40780079476558195}",1714.6649400136782,41.40681958624752,32.32627902670261,26.46041611457606,0.3931822720802774,34.80046154256979,0.4186761362127348,0.257624535641561,0.6007929304105873,0.013449138968677011
33,41.274744832352155,2024-07-10 18:52:33.443917,2024-07-10 18:52:39.032153,0 days 00:00:05.588236,cityblock,27,distance,COMPLETE,"{'mse': 1761.223644382279, 'rmse': 41.966935132104645, 'mae': 32.47661224198432, 'mdae': 26.33297962830474, 'r2': 0.4104627887420558}","{'mse': 1673.153137586219, 'rmse': 40.904194620921444, 'mae': 31.789104454617334, 'mdae': 25.76322096848827, 'r2': 0.3901891946649302}","{'mse': 1708.7670647026446, 'rmse': 41.33723581352102, 'mae': 32.28376340813249, 'mdae': 26.34448197225096, 'r2': 0.3846988492201555}","{'mse': 1685.7598774919566, 'rmse': 41.05800625325049, 'mae': 32.23147579801153, 'mdae': 27.111557668489844, 'r2': 0.3875524908990592}","{'mse': 1689.8144165663066, 'rmse': 41.10735234196319, 'mae': 32.08823276536966, 'mdae': 26.838460719766076, 'r2': 0.4123403776199346}",1703.7436281458813,41.274744832352155,32.173837733623074,26.47814019145998,0.39704874022922704,34.57746201237251,0.41693400272101255,0.2561377119150789,0.5198783962038164,0.013262002075655203
34,43.55453151671255,2024-07-10 18:52:39.032153,2024-07-10 18:52:39.908024,0 days 00:00:00.875871,euclidean,49,distance,COMPLETE,"{'mse': 1970.9826659076114, 'rmse': 44.39575053884788, 'mae': 35.02212370331231, 'mdae': 29.18246198231671, 'r2': 0.3402498155170617}","{'mse': 1836.687708286618, 'rmse': 42.8565946884096, 'mae': 33.85932250241776, 'mdae': 27.54652148541424, 'r2': 0.33058607405470064}","{'mse': 1914.869602673628, 'rmse': 43.75922305838654, 'mae': 34.78802480836153, 'mdae': 29.523090131712653, 'r2': 0.3104844455066449}","{'mse': 1881.5242090419038, 'rmse': 43.37653984634901, 'mae': 34.52527053197604, 'mdae': 29.268818366859424, 'r2': 0.31643003815273196}","{'mse': 1882.219131115699, 'rmse': 43.384549451569725, 'mae': 34.647992864817496, 'mdae': 29.158284589969945, 'r2': 0.3454286027008906}",1897.256663405092,43.55453151671255,34.568546882177024,28.935835311254596,0.32863579518640595,49.71914846532137,0.569481962823625,0.4373460358351213,0.7899758291591082,0.014992826952292699
35,43.24419644669298,2024-07-10 18:52:39.908024,2024-07-10 18:52:45.615758,0 days 00:00:05.707734,cityblock,114,distance,COMPLETE,"{'mse': 1940.9996785368905, 'rmse': 44.05677789553942, 'mae': 34.62506093414678, 'mdae': 28.224480630285168, 'r2': 0.35028606890038283}","{'mse': 1814.6365831734936, 'rmse': 42.598551421069395, 'mae': 33.78899270347355, 'mdae': 28.85939699236437, 'r2': 0.3386230038859881}","{'mse': 1868.2891662496722, 'rmse': 43.223710695053384, 'mae': 34.46169076335114, 'mdae': 29.140566139277766, 'r2': 0.327257355476369}","{'mse': 1859.2775689126547, 'rmse': 43.119341007402404, 'mae': 34.42862178487498, 'mdae': 28.67184021819629, 'r2': 0.3245123869587164}","{'mse': 1868.1932557390785, 'rmse': 43.2226012144003, 'mae': 34.67663874979577, 'mdae': 29.494673123730735, 'r2': 0.3503063221395276}",1870.279250522358,43.24419644669298,34.39620098712844,28.878191420770868,0.3381970274721969,45.350948656407965,0.5228816813869831,0.3553393211897716,0.4793646915283841,0.012246501594917199
