number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_weights,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
36,44.99313456935199,2024-07-10 18:52:45.616758,2024-07-10 18:52:46.623485,0 days 00:00:01.006727,euclidean,185,distance,COMPLETE,"{'mse': 2109.065439464402, 'rmse': 45.92456248528016, 'mae': 36.33668751751751, 'mdae': 29.11611277209404, 'r2': 0.2940291475711778}","{'mse': 1962.924697441906, 'rmse': 44.30490602000986, 'mae': 35.406161411977926, 'mdae': 29.945707549682915, 'r2': 0.28457672900998043}","{'mse': 2023.8135592575602, 'rmse': 44.98681539359682, 'mae': 36.074673815673556, 'mdae': 30.96638244851922, 'r2': 0.271255376055761}","{'mse': 2008.1668730690985, 'rmse': 44.812574943525604, 'mae': 35.98796455428225, 'mdae': 30.428326917798206, 'r2': 0.2704199360231463}","{'mse': 2019.3172528613206, 'rmse': 44.93681400434749, 'mae': 36.24131326886801, 'mdae': 31.142739615291305, 'r2': 0.29775056796275645}",2024.6575644188574,44.99313456935199,36.00936011366385,30.319853860677135,0.28360635132456447,53.001911305949946,0.5867346536559537,0.3638398751064099,0.8209574676161667,0.012610147871366814
37,42.53975591949823,2024-07-10 18:52:46.624483,2024-07-10 18:52:52.302699,0 days 00:00:05.678216,cityblock,72,distance,COMPLETE,"{'mse': 1863.8695599986904, 'rmse': 43.17255563432272, 'mae': 33.81197568598976, 'mdae': 27.115056476305114, 'r2': 0.37610395701018806}","{'mse': 1757.945631069516, 'rmse': 41.927862228707966, 'mae': 33.125549530422745, 'mdae': 27.550577061610028, 'r2': 0.35928504275208495}","{'mse': 1821.3635254785534, 'rmse': 42.677435788465004, 'mae': 33.82197956045173, 'mdae': 28.42571557313583, 'r2': 0.3441545683054186}","{'mse': 1810.3678912090613, 'rmse': 42.54841819867175, 'mae': 33.88174008182436, 'mdae': 28.586324877300573, 'r2': 0.3422815904380765}","{'mse': 1795.4294127970086, 'rmse': 42.372507747323716, 'mae': 33.774921031022686, 'mdae': 28.6230742660615, 'r2': 0.3756110964668459}",1809.795204110566,42.53975591949823,33.683233177942256,28.060149650882607,0.3594872509945228,38.5776625105294,0.45328029419052374,0.31410503658802186,0.6856107254036501,0.016334473617384476
38,42.86038585397679,2024-07-10 18:52:52.303701,2024-07-10 18:52:54.055651,0 days 00:00:01.751950,cosine,30,distance,COMPLETE,"{'mse': 1903.322182167551, 'rmse': 43.627080834815786, 'mae': 34.40067110714983, 'mdae': 28.99372186564778, 'r2': 0.3628979176043289}","{'mse': 1790.1908516020262, 'rmse': 42.31064702414779, 'mae': 33.53359289722891, 'mdae': 28.30061584074626, 'r2': 0.3475326911834147}","{'mse': 1837.9176374135473, 'rmse': 42.87094164365354, 'mae': 34.09801937165542, 'mdae': 28.877645928332296, 'r2': 0.3381936832122169}","{'mse': 1816.702618931871, 'rmse': 42.62279459317363, 'mae': 33.945720674621626, 'mdae': 28.414512688418455, 'r2': 0.33998014272510824}","{'mse': 1837.8767842431384, 'rmse': 42.870465174093205, 'mae': 34.07037805535575, 'mdae': 28.911820952479076, 'r2': 0.36084935338398927}",1837.202014871627,42.86038585397679,34.00967642120231,28.699663455124778,0.3498907576218116,41.84231906343197,0.48649167497121915,0.3142896232149921,0.3176904434927217,0.011509554146358859
39,41.51283950787976,2024-07-10 18:52:54.055651,2024-07-10 18:52:59.653641,0 days 00:00:05.597990,cityblock,32,distance,COMPLETE,"{'mse': 1779.5127805370907, 'rmse': 42.18427171988502, 'mae': 32.71567170102297, 'mdae': 26.2951454435875, 'r2': 0.40434083690509515}","{'mse': 1692.1899307048425, 'rmse': 41.1362362243417, 'mae': 32.032472562886355, 'mdae': 26.54923214775289, 'r2': 0.38325089243671184}","{'mse': 1737.0836648102077, 'rmse': 41.67833567706618, 'mae': 32.64649426709916, 'mdae': 27.154982645210282, 'r2': 0.3745024702096622}","{'mse': 1696.4861098770084, 'rmse': 41.188422036744846, 'mae': 32.388447866884405, 'mdae': 27.373262076358493, 'r2': 0.38365558102833863}","{'mse': 1712.050491914794, 'rmse': 41.37693188136107, 'mae': 32.37747090086055, 'mdae': 26.95574137097639, 'r2': 0.4046074316145031}",1723.4645955687888,41.51283950787976,32.432111459750686,26.86567273677711,0.39007144243886216,35.92736839806613,0.43120697148492937,0.269708058102537,0.44019755743786715,0.013647222024937782
40,45.208210441351376,2024-07-10 18:52:59.654642,2024-07-10 18:53:00.764314,0 days 00:00:01.109672,euclidean,224,distance,COMPLETE,"{'mse': 2130.7594888727003, 'rmse': 46.1601504424834, 'mae': 36.56027251582861, 'mdae': 29.45557165863602, 'r2': 0.28676746366757233}","{'mse': 1983.9351410180884, 'rmse': 44.54138683312508, 'mae': 35.592078682237414, 'mdae': 30.381909943232067, 'r2': 0.276919094314257}","{'mse': 2039.4549129855557, 'rmse': 45.160324544732354, 'mae': 36.251452515406946, 'mdae': 30.81668020856234, 'r2': 0.26562316137454867}","{'mse': 2027.8832703923094, 'rmse': 45.032024942170985, 'mae': 36.18375778182289, 'mdae': 30.459966601276186, 'r2': 0.26325684085741585}","{'mse': 2038.2665476500354, 'rmse': 45.14716544424506, 'mae': 36.44070735974037, 'mdae': 31.145198263124286, 'r2': 0.2911606517502221}",2044.0598721837378,45.208210441351376,36.20565377100725,30.45186533496618,0.2767454423928032,53.49826524206838,0.5890467662103182,0.3741844440395864,0.6346969588136602,0.012388672574871027
41,41.467347925648646,2024-07-10 18:53:00.765314,2024-07-10 18:53:06.324595,0 days 00:00:05.559281,cityblock,21,uniform,COMPLETE,"{'mse': 1767.315062524985, 'rmse': 42.039446505930414, 'mae': 32.416745272192394, 'mdae': 26.208177508809516, 'r2': 0.4084237985911391}","{'mse': 1712.78336197115, 'rmse': 41.38578695604507, 'mae': 32.0396091504401, 'mdae': 25.820162631666662, 'r2': 0.3757452453904191}","{'mse': 1731.3231018119423, 'rmse': 41.60917088589897, 'mae': 32.342714152279086, 'mdae': 26.01500131111904, 'r2': 0.376576761735517}","{'mse': 1696.8742095998562, 'rmse': 41.19313303937752, 'mae': 32.290515549783464, 'mdae': 27.099490762523807, 'r2': 0.3835145818791037}","{'mse': 1689.966508890721, 'rmse': 41.10920224099126, 'mae': 32.037624270068314, 'mdae': 26.779340606190477, 'r2': 0.4122874851146653}",1719.652448959731,41.467347925648646,32.22544167895267,26.3844345640619,0.3913095745421688,31.045194684688592,0.37333793829071593,0.1763473944979314,0.5369372497470475,0.017699120193833788
42,41.67749022777806,2024-07-10 18:53:06.325595,2024-07-10 18:53:11.865174,0 days 00:00:05.539579,cityblock,8,uniform,COMPLETE,"{'mse': 1789.9865295051259, 'rmse': 42.30823240818654, 'mae': 31.86004064446451, 'mdae': 24.412845668124994, 'r2': 0.40083494213827986}","{'mse': 1728.689641718708, 'rmse': 41.57751365484362, 'mae': 31.71552982178169, 'mdae': 24.356109278750004, 'r2': 0.3699479151611391}","{'mse': 1747.4800104501028, 'rmse': 41.802870839813174, 'mae': 31.71345189639583, 'mdae': 23.899930558125, 'r2': 0.370758903536199}","{'mse': 1683.8182010655746, 'rmse': 41.034353913100354, 'mae': 31.33295032477896, 'mdae': 24.7136423775, 'r2': 0.3882579145520333}","{'mse': 1735.928920581207, 'rmse': 41.66448032294663, 'mae': 31.44832835782341, 'mdae': 24.67577205375001, 'r2': 0.3963033313325045}",1737.1806606641435,41.67749022777806,31.61406020904888,24.41165998725,0.3852206013440312,38.13054136922411,0.4575327551218065,0.21631630658248677,0.3263061612115976,0.014302582465118044
43,42.249201447217324,2024-07-10 18:53:11.866175,2024-07-10 18:53:17.468858,0 days 00:00:05.602683,cityblock,59,distance,COMPLETE,"{'mse': 1848.8295385462986, 'rmse': 42.99801784438788, 'mae': 33.59061318617348, 'mdae': 26.80644144979298, 'r2': 0.3811383274790291}","{'mse': 1737.5000943516422, 'rmse': 41.68333113309974, 'mae': 32.84907882570265, 'mdae': 27.251780590137148, 'r2': 0.3667367869656608}","{'mse': 1786.379112871783, 'rmse': 42.26557834540754, 'mae': 33.44204094913285, 'mdae': 28.216232084789144, 'r2': 0.3567519256521021}","{'mse': 1775.5656013854011, 'rmse': 42.13746078473881, 'mae': 33.44083338432822, 'mdae': 28.457176556578226, 'r2': 0.3549254883016447}","{'mse': 1777.6021275327057, 'rmse': 42.161619128452664, 'mae': 33.520648412164114, 'mdae': 28.38857606527756, 'r2': 0.38181081616610724}",1785.175294937566,42.249201447217324,33.36864295150026,27.824041349315014,0.3682726689129088,40.236599423395745,0.4746999183896835,0.29703621438164457,0.7477240702954805,0.012865071806020725
44,42.96456209227581,2024-07-10 18:53:17.469858,2024-07-10 18:53:23.134156,0 days 00:00:05.664298,cityblock,96,distance,COMPLETE,"{'mse': 1912.124707809536, 'rmse': 43.727848195509644, 'mae': 34.3411758952605, 'mdae': 28.071420718556702, 'r2': 0.35995143409807173}","{'mse': 1794.274901315408, 'rmse': 42.35888220096711, 'mae': 33.559694323109916, 'mdae': 28.346658030875382, 'r2': 0.34604418568514406}","{'mse': 1848.8237057643066, 'rmse': 42.99795001816141, 'mae': 34.25432637839874, 'mdae': 28.658941369158747, 'r2': 0.3342665731073218}","{'mse': 1835.1348509575269, 'rmse': 42.838473956917824, 'mae': 34.18345669622638, 'mdae': 28.866970170431056, 'r2': 0.3332835931500413}","{'mse': 1840.3804926250953, 'rmse': 42.89965608982309, 'mae': 34.35839821749796, 'mdae': 29.64708931873971, 'r2': 0.3599786492949093}",1846.1477316943747,42.96456209227581,34.139410302098696,28.71821592155232,0.3467048870670976,42.44248265198095,0.49261535876203644,0.3316178023710486,0.6010088160471974,0.013104799529279074
45,44.7961760089586,2024-07-10 18:53:23.135156,2024-07-10 18:53:28.974440,0 days 00:00:05.839284,cityblock,255,uniform,COMPLETE,"{'mse': 2092.4971959193863, 'rmse': 45.74382139611192, 'mae': 36.11515306915278, 'mdae': 28.972685627027445, 'r2': 0.2995750622686817}","{'mse': 1944.8828908891178, 'rmse': 44.10082641957084, 'mae': 35.19959393545391, 'mdae': 29.894562884784314, 'r2': 0.29115239045811747}","{'mse': 2003.2412958523453, 'rmse': 44.75758366860688, 'mae': 35.93784925843403, 'mdae': 30.628055220968626, 'r2': 0.2786631366621357}","{'mse': 1982.752837135953, 'rmse': 44.52811288541154, 'mae': 35.764820749641366, 'mdae': 30.102541085349007, 'r2': 0.2796530202905295}","{'mse': 2011.5705503426861, 'rmse': 44.85053567509184, 'mae': 36.1352624681321, 'mdae': 31.22479862887058, 'r2': 0.30044460597791434}",2006.9889540278978,44.7961760089586,35.830535896162836,30.164528689399994,0.28989764313147576,54.293756175466235,0.6037062637360228,0.38333654104860476,0.8420574615274714,0.01045982421049597
46,42.673510572953866,2024-07-10 18:53:28.975441,2024-07-10 18:53:30.650226,0 days 00:00:01.674785,cosine,25,distance,COMPLETE,"{'mse': 1886.9468081181528, 'rmse': 43.43900100276424, 'mae': 34.09972993333365, 'mdae': 28.626934436691208, 'r2': 0.36837927278666505}","{'mse': 1782.946137309923, 'rmse': 42.224946859764344, 'mae': 33.36553597424553, 'mdae': 28.226786891062233, 'r2': 0.35017315783147274}","{'mse': 1823.3011811799297, 'rmse': 42.70013092696473, 'mae': 33.83739829201485, 'mdae': 27.911894124324462, 'r2': 0.3434568478217438}","{'mse': 1800.2218056877389, 'rmse': 42.4290207957683, 'mae': 33.66004190859866, 'mdae': 28.321155455222588, 'r2': 0.345967729186321}","{'mse': 1812.5840720489853, 'rmse': 42.574453279507715, 'mae': 33.63823933082176, 'mdae': 28.436619264548305, 'r2': 0.3696452930749208}",1821.200000868946,42.673510572953866,33.72018908780289,28.30467803436976,0.35552446014022465,39.70117945932911,0.4630014159542158,0.27106342789540305,0.26545970158028626,0.012552280081112626
47,45.831934951043614,2024-07-10 18:53:30.651229,2024-07-10 18:53:36.754445,0 days 00:00:06.103216,cityblock,495,uniform,COMPLETE,"{'mse': 2202.9372379167644, 'rmse': 46.93545821568981, 'mae': 37.120723872380594, 'mdae': 29.911961963275772, 'r2': 0.26260729013024875}","{'mse': 2030.6896394733478, 'rmse': 45.063173872612964, 'mae': 36.09350235746995, 'mdae': 30.75399606157575, 'r2': 0.25987857500042355}","{'mse': 2095.625969146557, 'rmse': 45.77800748335992, 'mae': 36.7901207045177, 'mdae': 31.416049516151503, 'r2': 0.24539681443100092}","{'mse': 2060.7817741567023, 'rmse': 45.39583432603373, 'mae': 36.492729670219894, 'mdae': 30.7088380260889, 'r2': 0.2513046008304274}","{'mse': 2114.82264271004, 'rmse': 45.98720085752165, 'mae': 37.18908971250688, 'mdae': 31.265265339442422, 'r2': 0.2645370619211852}",2100.9714526806824,45.831934951043614,36.737233263419,30.811222181306867,0.2567448684626572,65.52136015419953,0.711680514687682,0.45502963242278655,0.5904230640349096,0.00811297148990878
48,44.035844868034346,2024-07-10 18:53:36.754445,2024-07-10 18:53:37.635968,0 days 00:00:00.881523,euclidean,77,distance,COMPLETE,"{'mse': 2027.7085831188554, 'rmse': 45.030085311032394, 'mae': 35.54484495515459, 'mdae': 29.33843905436568, 'r2': 0.3212618583967749}","{'mse': 1872.786784740791, 'rmse': 43.27570663479443, 'mae': 34.368800720666066, 'mdae': 28.678591044517578, 'r2': 0.3174291152624352}","{'mse': 1946.0959652764163, 'rmse': 44.11457769577327, 'mae': 35.18877820061129, 'mdae': 29.62037809634763, 'r2': 0.2992403050728474}","{'mse': 1920.4510203281989, 'rmse': 43.82295084003585, 'mae': 35.04872282670926, 'mdae': 29.445105839542194, 'r2': 0.3022876748613459}","{'mse': 1930.3636478664973, 'rmse': 43.93590385853576, 'mae': 35.246823340159246, 'mdae': 30.008750512446184, 'r2': 0.3286855874584622}",1939.4812002661517,44.035844868034346,35.07959400866009,29.41825290944385,0.31378090821037313,56.39425674144341,0.6379332102240095,0.43661350426667805,0.4857296099878785,0.012599077806458428
49,43.125862447395136,2024-07-10 18:53:37.636969,2024-07-10 18:53:43.332942,0 days 00:00:05.695973,cityblock,107,distance,COMPLETE,"{'mse': 1926.2755517753974, 'rmse': 43.88935579130089, 'mae': 34.4956096250982, 'mdae': 27.641422419716566, 'r2': 0.3552146994334028}","{'mse': 1805.4789880536166, 'rmse': 42.49092830303448, 'mae': 33.71407106683881, 'mdae': 28.592888987650547, 'r2': 0.3419606544151208}","{'mse': 1857.6591505545584, 'rmse': 43.10057018827661, 'mae': 34.354624789891446, 'mdae': 29.101067734080022, 'r2': 0.33108506319915887}","{'mse': 1851.9618379976448, 'rmse': 43.03442619575222, 'mae': 34.36184782584245, 'mdae': 28.694732585051803, 'r2': 0.32717023950104684}","{'mse': 1858.8197344825596, 'rmse': 43.11403175861148, 'mae': 34.56460602655397, 'mdae': 29.39829126232148, 'r2': 0.3535661120359652}",1860.0390525727555,43.125862447395136,34.298151866844975,28.685680597764087,0.3417993537169389,43.11747479986466,0.49879948515067535,0.3385203585777645,0.6669947143827546,0.012720663543884621
