number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_learning_rate,params_num_layers,params_num_units,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
24,53.93438114802615,2024-07-10 17:43:40.569191,2024-07-10 17:44:00.712375,0 days 00:00:20.143184,0.4,0.07827261670764944,2,96,COMPLETE,"{'mse': 2779.4397673044273, 'rmse': 52.72039232881739, 'mae': 39.300254327068664, 'mdae': 28.81088616529297, 'r2': 0.06963367514249541}","{'mse': 2795.81429281286, 'rmse': 52.87546021372164, 'mae': 38.94848420129881, 'mdae': 28.714534798593746, 'r2': -0.01898488976754109}","{'mse': 3675.2432551563975, 'rmse': 60.62378456642572, 'mae': 44.10726734449549, 'mdae': 27.837209442167968, 'r2': -0.3233994562548015}","{'mse': 2377.5704144220726, 'rmse': 48.76033648799066, 'mae': 35.86619656597073, 'mdae': 25.14054510073242, 'r2': 0.13621323091915982}","{'mse': 2991.207441553696, 'rmse': 54.691932143175336, 'mae': 39.75220601569715, 'mdae': 27.38632071728516, 'r2': -0.0402395779861735}",2923.8550342498907,53.93438114802615,39.59488169090617,27.577899244814454,-0.03535540358937217,475.604271412106,4.321105823358802,2.9493263209119887,1.4880218800913114,0.17586907641647967
25,44.36796647549907,2024-07-10 17:44:00.713374,2024-07-10 17:44:21.652553,0 days 00:00:20.939179,0.3,0.03546424774113051,1,112,COMPLETE,"{'mse': 2245.2614192033393, 'rmse': 47.384189548871035, 'mae': 36.443946012343105, 'mdae': 28.6809134750293, 'r2': 0.24844004914183115}","{'mse': 1883.7397425685658, 'rmse': 43.40207071751953, 'mae': 33.67100226832275, 'mdae': 27.194658742329104, 'r2': 0.3134371124482803}","{'mse': 1929.109095415305, 'rmse': 43.921624462391016, 'mae': 34.75343792588789, 'mdae': 29.594322808671876, 'r2': 0.30535701974367235}","{'mse': 1894.7762436880382, 'rmse': 43.529027598696004, 'mae': 34.146229990443125, 'mdae': 28.638974322485353, 'r2': 0.31161548792057236}","{'mse': 1901.2146368882395, 'rmse': 43.602920050017744, 'mae': 32.83681321315356, 'mdae': 24.422013225859374, 'r2': 0.3388226158896924}",1970.8202275526976,44.36796647549907,34.37028588203008,27.706176514875004,0.3035344570288097,154.32791615391199,1.696974654233453,1.3544010545170808,2.0268632945206653,0.03334417233823499
26,46.45139832464038,2024-07-10 17:44:21.652553,2024-07-10 17:44:38.471620,0 days 00:00:16.819067,0.4,0.014188556477072792,2,48,COMPLETE,"{'mse': 2295.951254332904, 'rmse': 47.916085548935484, 'mae': 36.35462548007969, 'mdae': 27.576223064316405, 'r2': 0.23147255944412726}","{'mse': 2154.7819027138316, 'rmse': 46.41962842067816, 'mae': 34.82481883138907, 'mdae': 26.061365276762697, 'r2': 0.21465091395578018}","{'mse': 2040.4526084124723, 'rmse': 45.17136934400453, 'mae': 34.763992059307306, 'mdae': 26.539256028535156, 'r2': 0.265263906355541}","{'mse': 2042.353545721296, 'rmse': 45.1924058412616, 'mae': 33.898064172328986, 'mdae': 26.45450394866211, 'r2': 0.25799969587516147}","{'mse': 2261.716041024465, 'rmse': 47.55750246832213, 'mae': 35.014693600234814, 'mdae': 23.8962372746875, 'r2': 0.21345256522302813}",2159.051070440994,46.45139832464038,34.97123882866797,26.105517118592775,0.23656792817072764,119.35649311920747,1.2838731083086936,0.8848362597817097,1.356075591750861,0.02410092389143102
27,45.671595769837346,2024-07-10 17:44:38.472650,2024-07-10 17:44:56.036556,0 days 00:00:17.563906,0.15000000000000002,0.004071237438230497,1,64,COMPLETE,"{'mse': 2474.751596892705, 'rmse': 49.74687524752389, 'mae': 38.10075499083256, 'mdae': 29.36233253775879, 'r2': 0.1716224344126519}","{'mse': 2054.4849950270727, 'rmse': 45.326427115172805, 'mae': 35.8203034914521, 'mdae': 29.656356357060552, 'r2': 0.25120592896015415}","{'mse': 2016.3720089246615, 'rmse': 44.90403109882966, 'mae': 35.89204535663236, 'mdae': 30.40466578821289, 'r2': 0.27393496567215814}","{'mse': 1982.7482503053336, 'rmse': 44.528061380497284, 'mae': 35.13744508451722, 'mdae': 28.5551433128418, 'r2': 0.2796546867158757}","{'mse': 1923.049124105295, 'rmse': 43.85258400716308, 'mae': 34.237809728630594, 'mdae': 27.654403591503907, 'r2': 0.3312293284925413}",2090.281195051014,45.671595769837346,35.837671730412964,29.12658031747559,0.26152946885067624,220.27898525551453,2.34161666578594,1.4295698453480463,1.056360354561135,0.058159996186072184
28,58.45991924760689,2024-07-10 17:44:56.036556,2024-07-10 17:45:17.806074,0 days 00:00:21.769518,0.3,0.059283220598370996,3,80,COMPLETE,"{'mse': 4666.887915611621, 'rmse': 68.31462446366533, 'mae': 51.10916623069039, 'mdae': 36.114379523188475, 'r2': -0.5621548664752631}","{'mse': 3742.32538909487, 'rmse': 61.174548540180254, 'mae': 45.71732293934284, 'mdae': 33.440602050273434, 'r2': -0.36395791161239255}","{'mse': 3158.892757017538, 'rmse': 56.20402794300011, 'mae': 43.604216061699965, 'mdae': 34.83235974636719, 'r2': -0.13746945896410967}","{'mse': 2756.2211837421646, 'rmse': 52.499725558731875, 'mae': 42.02165387621529, 'mdae': 36.05109009499999, 'r2': -0.001353052147363032}","{'mse': 2927.5317095371634, 'rmse': 54.10666973245686, 'mae': 42.673488266049986, 'mdae': 33.95614713310547, 'r2': -0.01809533760997506}",3450.3717910006717,58.45991924760689,45.02516947479969,34.87891570958691,-0.2166061253618207,775.4539361677865,6.40406438950622,3.676435502116612,1.2065217684068206,0.24141225722143267
29,46.01286389714568,2024-07-10 17:45:17.806074,2024-07-10 17:45:38.624610,0 days 00:00:20.818536,0.35000000000000003,0.017711724118496336,2,96,COMPLETE,"{'mse': 2269.5391937433633, 'rmse': 47.63968087365157, 'mae': 36.81499167797, 'mdae': 28.81913457980469, 'r2': 0.24031351078679164}","{'mse': 1974.5692804778876, 'rmse': 44.43612584910939, 'mae': 35.707751095602276, 'mdae': 30.573299943828122, 'r2': 0.28033265092803794}","{'mse': 1912.2299966569753, 'rmse': 43.72905208962316, 'mae': 34.76882074858219, 'mdae': 29.321663101210937, 'r2': 0.3114349276719447}","{'mse': 1980.4783062303036, 'rmse': 44.50256516460937, 'mae': 35.06365093814197, 'mdae': 28.75943204682617, 'r2': 0.28047937213703955}","{'mse': 2475.748650667164, 'rmse': 49.75689550873491, 'mae': 36.64220021949829, 'mdae': 24.470889629970703, 'r2': 0.13901934857712617}",2122.513085555139,46.01286389714568,35.79948293595894,28.38888386032813,0.250315962020188,241.1805684669323,2.5810466718674685,0.915636176261017,2.3084004834146805,0.06714414732457968
30,44.07139215439459,2024-07-10 17:45:38.625610,2024-07-10 17:46:00.244012,0 days 00:00:21.618402,0.45,0.011642992406938125,1,128,COMPLETE,"{'mse': 2221.7907912646197, 'rmse': 47.13587584064414, 'mae': 36.51911977952521, 'mdae': 28.850302554829103, 'r2': 0.25629641002229075}","{'mse': 1926.7478446829086, 'rmse': 43.8947359564095, 'mae': 34.863874785003915, 'mdae': 29.048339362490232, 'r2': 0.29776203477779484}","{'mse': 1921.3064745139577, 'rmse': 43.83271009775642, 'mae': 34.427095416982766, 'mdae': 29.021890505703126, 'r2': 0.30816662540547934}","{'mse': 1842.729779195014, 'rmse': 42.9270285390803, 'mae': 33.00717911471078, 'mdae': 26.197739287304685, 'r2': 0.33052430640763186}","{'mse': 1811.9163156741608, 'rmse': 42.566610338082604, 'mae': 32.44813261048724, 'mdae': 25.116861517978514, 'r2': 0.36987751588899076}",1944.8982410661324,44.07139215439459,34.253080341341985,27.647026645661136,0.3125253785004375,162.54082546810224,1.8064587732976085,1.6084458346490205,1.8576847349599945,0.041868487587253464
31,43.929259146749075,2024-07-10 17:46:00.245011,2024-07-10 17:46:17.950257,0 days 00:00:17.705246,0.25,0.025260262102772164,1,80,COMPLETE,"{'mse': 2261.864052952729, 'rmse': 47.55905857933617, 'mae': 36.399120140634956, 'mdae': 28.190949604462887, 'r2': 0.24288262295613794}","{'mse': 1936.7565517847986, 'rmse': 44.00859633963345, 'mae': 34.94177945420685, 'mdae': 28.788169702783204, 'r2': 0.29411418115276955}","{'mse': 1882.3195516505834, 'rmse': 43.38570676675192, 'mae': 34.26919626805068, 'mdae': 28.775367626630857, 'r2': 0.32220522610110647}","{'mse': 1840.4337482905728, 'rmse': 42.90027678571052, 'mae': 32.93851852704621, 'mdae': 27.01219712680664, 'r2': 0.33135846934330215}","{'mse': 1746.626201045188, 'rmse': 41.79265726231329, 'mae': 31.83633163803559, 'mdae': 24.945190392978517, 'r2': 0.39258318328764963}",1933.6000211447742,43.929259146749075,34.07698920559485,27.542374890732425,0.3166287365681931,196.23715793410264,2.18523796259629,1.7673256370430241,1.6216797415439375,0.054686686492307936
32,43.80946208906485,2024-07-10 17:46:17.951262,2024-07-10 17:46:35.725538,0 days 00:00:17.774276,0.2,0.03018764853371594,1,80,COMPLETE,"{'mse': 2279.6927835222314, 'rmse': 47.746128466318936, 'mae': 36.44347221894631, 'mdae': 27.934867373295894, 'r2': 0.23691478341813288}","{'mse': 1894.4172398787423, 'rmse': 43.524903674548696, 'mae': 34.2430234943139, 'mdae': 27.603670016181642, 'r2': 0.3095455061825948}","{'mse': 1879.3456775077664, 'rmse': 43.351420709219745, 'mae': 34.071242857481735, 'mdae': 28.81034170251953, 'r2': 0.3232760731581149}","{'mse': 1840.1255098230195, 'rmse': 42.8966841355252, 'mae': 33.23084332337915, 'mdae': 26.935060696987303, 'r2': 0.33147045437995104}","{'mse': 1724.5891908999022, 'rmse': 41.52817345971169, 'mae': 31.467915818873802, 'mdae': 24.221690753505854, 'r2': 0.4002469012281553}",1923.6340803263324,43.80946208906485,33.89129954259898,27.101126108498043,0.3202907436733898,209.87224439274445,2.3358916373415757,1.8012957693419702,1.7455528140894272,0.05829643242033989
33,43.89790701527848,2024-07-10 17:46:35.726534,2024-07-10 17:46:52.585179,0 days 00:00:16.858645,0.2,0.03453481479112848,1,64,COMPLETE,"{'mse': 2288.32810456958, 'rmse': 47.83647253476765, 'mae': 36.64536569990467, 'mdae': 28.110434713144535, 'r2': 0.23402426857363323}","{'mse': 1905.979686676426, 'rmse': 43.657527262505674, 'mae': 34.11515552178019, 'mdae': 28.18473564203125, 'r2': 0.3053313641325065}","{'mse': 1886.8086174937284, 'rmse': 43.43741034515903, 'mae': 34.20409449889842, 'mdae': 28.59198762138672, 'r2': 0.32058878145146996}","{'mse': 1854.569512050926, 'rmse': 43.06471307289677, 'mae': 33.304531165580414, 'mdae': 27.793712706757816, 'r2': 0.3262228545859097}","{'mse': 1721.703227871823, 'rmse': 41.49341186106323, 'mae': 31.60333896538793, 'mdae': 24.526723774521486, 'r2': 0.4012505404009883}",1931.4778297324967,43.89790701527848,33.97449717031033,27.441518891568364,0.31748356182890153,212.07774835367297,2.3589164383414163,1.8219003874920712,1.6540457120823042,0.0596155471865659
