number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
10,39.54019631778408,2024-07-10 18:24:08.810578,2024-07-10 18:24:33.976635,0 days 00:00:25.166057,6,3,10,476,COMPLETE,"{'mse': 1597.9115432056574, 'rmse': 39.973885765655275, 'mae': 30.10298057714247, 'mdae': 22.753642294956478, 'r2': 0.46512850992938903}","{'mse': 1527.4963139989982, 'rmse': 39.08319733592683, 'mae': 29.934672769719974, 'mdae': 23.888097233702176, 'r2': 0.4432764482455631}","{'mse': 1579.519405826519, 'rmse': 39.74316803963316, 'mae': 30.49686688911773, 'mdae': 23.813893579759217, 'r2': 0.43123897448639226}","{'mse': 1558.002660978799, 'rmse': 39.471542419555874, 'mae': 30.298507067671174, 'mdae': 23.21155710024263, 'r2': 0.4339675171835641}","{'mse': 1554.6608685591502, 'rmse': 39.42918802814928, 'mae': 29.996512057674177, 'mdae': 22.89211719641027, 'r2': 0.45934215616233876}",1563.5181585138248,39.54019631778408,30.1659078722651,23.311861481014155,0.44659072120144944,26.671100496477397,0.33733081855699776,0.2308900585667478,0.520081427227695,0.015101775695179526
11,38.99139804919766,2024-07-10 18:24:33.976635,2024-07-10 18:24:53.695414,0 days 00:00:19.718779,10,3,6,225,COMPLETE,"{'mse': 1581.7058823674415, 'rmse': 39.770666104145675, 'mae': 29.671671023466846, 'mdae': 21.66570798719738, 'r2': 0.47055305673673375}","{'mse': 1490.2709915724026, 'rmse': 38.60402817805938, 'mae': 29.2664364421925, 'mdae': 22.902667045718097, 'r2': 0.45684388767347395}","{'mse': 1533.4460973231617, 'rmse': 39.15924025467248, 'mae': 29.864868831044667, 'mdae': 23.022993924706952, 'r2': 0.44782927536937644}","{'mse': 1498.2432489097132, 'rmse': 38.70714725873909, 'mae': 29.45785353434868, 'mdae': 22.672183087321997, 'r2': 0.4556784996050347}","{'mse': 1498.9215671375634, 'rmse': 38.71590845037171, 'mae': 29.151943366927934, 'mdae': 21.617177261128134, 'r2': 0.47872637759163505}",1520.5175574620566,38.99139804919766,29.482554639596124,22.37614586121451,0.4619262193952508,38.041242800955224,0.48532930969713983,0.29092532594121506,0.682647479115585,0.012452465289208936
12,39.12075117304857,2024-07-10 18:24:53.696413,2024-07-10 18:25:08.366239,0 days 00:00:14.669826,8,3,8,219,COMPLETE,"{'mse': 1583.9704911839249, 'rmse': 39.79912676408774, 'mae': 29.81442837773664, 'mdae': 22.1650941738289, 'r2': 0.4697950206005972}","{'mse': 1495.7302781601254, 'rmse': 38.67467230837419, 'mae': 29.416399545276143, 'mdae': 22.51328483979312, 'r2': 0.4548541523194124}","{'mse': 1545.2143857636593, 'rmse': 39.309215023498744, 'mae': 30.055403970181295, 'mdae': 23.181195530724036, 'r2': 0.4435916928634148}","{'mse': 1516.8376017116132, 'rmse': 38.94659936004186, 'mae': 29.727332314695236, 'mdae': 22.77789129465452, 'r2': 0.448923050499311}","{'mse': 1511.1989480538953, 'rmse': 38.8741424092403, 'mae': 29.373801319034143, 'mdae': 22.265804218670482, 'r2': 0.4744567246863365}",1530.5903409746436,39.12075117304857,29.67747310538469,22.580654011534214,0.4583241281938143,34.79831554268277,0.4432389748527303,0.28480273153406677,0.4110692272004136,0.013316415502585046
13,38.99323422137538,2024-07-10 18:25:08.367379,2024-07-10 18:25:19.590173,0 days 00:00:11.222794,10,3,6,140,COMPLETE,"{'mse': 1583.6254424112312, 'rmse': 39.79479164930043, 'mae': 29.688797823719625, 'mdae': 21.856788064041886, 'r2': 0.4699105193289107}","{'mse': 1487.1805689007467, 'rmse': 38.56398020045061, 'mae': 29.248480541570537, 'mdae': 22.896748986969094, 'r2': 0.45797024789471885}","{'mse': 1532.0680188966091, 'rmse': 39.141640472731964, 'mae': 29.854301354123013, 'mdae': 22.880766692164684, 'r2': 0.44832550054789144}","{'mse': 1503.2691184968705, 'rmse': 38.77201463036027, 'mae': 29.560761163313064, 'mdae': 22.88954525717679, 'r2': 0.45385256855114087}","{'mse': 1497.2058366578144, 'rmse': 38.693744154033666, 'mae': 29.129790645663768, 'mdae': 21.556905836964404, 'r2': 0.47932304993384645}",1520.6697970726545,38.99323422137538,29.496426305678,22.416150967463373,0.46187637725130165,38.94933310578554,0.49684256763809387,0.30212544343905784,0.6561504083546927,0.012571788244450573
14,39.112684656497414,2024-07-10 18:25:19.590173,2024-07-10 18:25:27.896882,0 days 00:00:08.306709,8,3,6,122,COMPLETE,"{'mse': 1581.3925852769019, 'rmse': 39.766727112963444, 'mae': 29.799038123446252, 'mdae': 22.513508053653084, 'r2': 0.4706579271736263}","{'mse': 1490.8429780451306, 'rmse': 38.611435845421894, 'mae': 29.343197666804095, 'mdae': 22.758976052926524, 'r2': 0.45663541689830134}","{'mse': 1544.886015345929, 'rmse': 39.30503804025546, 'mae': 30.060983800478468, 'mdae': 23.28145932177139, 'r2': 0.44370993407960224}","{'mse': 1520.0591623489856, 'rmse': 38.98793611296943, 'mae': 29.814967815011915, 'mdae': 22.662755093336543, 'r2': 0.4477526366022192}","{'mse': 1512.609923597379, 'rmse': 38.89228617087686, 'mae': 29.385019012717187, 'mdae': 22.083011338198517, 'r2': 0.4739660356811165}",1529.9581329228652,39.112684656497414,29.680641283691585,22.65994197197721,0.4585443900869731,34.6312354996507,0.44163316827546467,0.3074014396641612,0.43312565369776923,0.013460424775304012
15,39.26999520125791,2024-07-10 18:25:27.897883,2024-07-10 18:25:37.183320,0 days 00:00:09.285437,7,2,6,139,COMPLETE,"{'mse': 1584.120470262188, 'rmse': 39.80101092010337, 'mae': 29.91020628508209, 'mdae': 22.41603750906995, 'r2': 0.46974481786352384}","{'mse': 1506.4645716404539, 'rmse': 38.813200997089304, 'mae': 29.604655835098505, 'mdae': 23.24413507935101, 'r2': 0.4509418456662476}","{'mse': 1556.3805038242347, 'rmse': 39.45098862923761, 'mae': 30.23006340045377, 'mdae': 23.55269932104912, 'r2': 0.43957094279493714}","{'mse': 1534.6507623447221, 'rmse': 39.17461885385386, 'mae': 30.02236054355, 'mdae': 22.770133242010022, 'r2': 0.4424514135807758}","{'mse': 1529.6043497462708, 'rmse': 39.11015660600544, 'mae': 29.645521523936694, 'mdae': 22.66625820825646, 'r2': 0.46805595587867466}",1542.2441315635738,39.26999520125791,29.882561517624207,22.92985267194731,0.45415299515683183,29.37288295464031,0.3735111389809068,0.2619566215879761,0.45981239084311964,0.01410914593151401
16,39.0682497811406,2024-07-10 18:25:37.184319,2024-07-10 18:25:42.758435,0 days 00:00:05.574116,10,4,5,63,COMPLETE,"{'mse': 1587.5401331943362, 'rmse': 39.843947259205336, 'mae': 29.733368242853476, 'mdae': 21.754107031825285, 'r2': 0.46860014861331756}","{'mse': 1493.6884502595697, 'rmse': 38.64826581180027, 'mae': 29.244297678565378, 'mdae': 22.783536830241584, 'r2': 0.45559833328433585}","{'mse': 1535.5393077918598, 'rmse': 39.18595804356274, 'mae': 29.89531841038135, 'mdae': 23.135897297498083, 'r2': 0.4470755419689504}","{'mse': 1518.4904720000916, 'rmse': 38.967813282247334, 'mae': 29.68048926128385, 'mdae': 22.694520348687558, 'r2': 0.4483225519914502}","{'mse': 1497.3234954127543, 'rmse': 38.69526450888731, 'mae': 29.182515204297975, 'mdae': 21.446554981918126, 'r2': 0.47928213224559635}",1526.5163717317223,39.0682497811406,29.54719775947641,22.36292329803413,0.4597757416207301,38.07763241277585,0.4850654210127448,0.3155772037033073,0.7236624365177353,0.013859029531942183
17,39.99645793614896,2024-07-10 18:25:42.758435,2024-07-10 18:25:56.926941,0 days 00:00:14.168506,5,3,7,281,COMPLETE,"{'mse': 1623.396659968328, 'rmse': 40.291396848065816, 'mae': 30.457456230535197, 'mdae': 23.170941810333115, 'r2': 0.45659783597848513}","{'mse': 1565.8879198662692, 'rmse': 39.571301720644335, 'mae': 30.374591863527645, 'mdae': 24.094676659447803, 'r2': 0.4292839358053677}","{'mse': 1610.375808998941, 'rmse': 40.12948802313507, 'mae': 30.958116814068866, 'mdae': 24.479245989258693, 'r2': 0.42012805084261173}","{'mse': 1602.867395803807, 'rmse': 40.035826403407825, 'mae': 30.83474256425821, 'mdae': 23.71440159017844, 'r2': 0.4176678677157343}","{'mse': 1596.3442254608274, 'rmse': 39.95427668549172, 'mae': 30.537588794694567, 'mdae': 23.717860286872337, 'r2': 0.4448461111906382}",1599.7744020196344,39.99645793614896,30.6324992534169,23.835425267218078,0.4337047603065674,21.447769668658875,0.2686879730792607,0.25154195941180874,0.4877814382445351,0.016652892138838273
18,39.03306656963722,2024-07-10 18:25:56.926941,2024-07-10 18:26:09.064566,0 days 00:00:12.137625,9,2,5,160,COMPLETE,"{'mse': 1582.5149592815662, 'rmse': 39.78083658348032, 'mae': 29.76037735108181, 'mdae': 22.07573487394849, 'r2': 0.47028223312545203}","{'mse': 1484.1448731168734, 'rmse': 38.52460088199323, 'mae': 29.251696690380548, 'mdae': 23.109993680271764, 'r2': 0.45907666191572505}","{'mse': 1540.390004821052, 'rmse': 39.24780254767204, 'mae': 29.969113702035173, 'mdae': 22.986550287413763, 'r2': 0.4453288794039941}","{'mse': 1507.6725700112447, 'rmse': 38.82875957343016, 'mae': 29.6395156235005, 'mdae': 22.91315682904765, 'r2': 0.4522527660244384}","{'mse': 1504.1469388811315, 'rmse': 38.783333261610345, 'mae': 29.228180678840854, 'mdae': 21.716344618064397, 'r2': 0.4769091721307771}",1523.7738692223734,39.03306656963722,29.569776809167774,22.56035605774921,0.46076994252007736,38.54068365640346,0.49191385506355584,0.3234675026295028,0.6235832790870082,0.012891802917026315
19,39.00503655006393,2024-07-10 18:26:09.065566,2024-07-10 18:26:37.290258,0 days 00:00:28.224692,9,4,7,379,COMPLETE,"{'mse': 1580.6415195666495, 'rmse': 39.75728259786689, 'mae': 29.71984727590907, 'mdae': 21.695962568699574, 'r2': 0.4709093326017251}","{'mse': 1489.1603814521511, 'rmse': 38.58964085673966, 'mae': 29.34615813543928, 'mdae': 22.666323263074894, 'r2': 0.45724866954109233}","{'mse': 1535.4362062736734, 'rmse': 39.184642479850105, 'mae': 29.94621234793357, 'mdae': 23.348783649196356, 'r2': 0.4471126672647837}","{'mse': 1500.9519343774668, 'rmse': 38.74212093287443, 'mae': 29.543068312373872, 'mdae': 22.523605922401607, 'r2': 0.4546944165871545}","{'mse': 1501.6784331692784, 'rmse': 38.75149588298855, 'mae': 29.232597278338083, 'mdae': 21.54993662894372, 'r2': 0.47776763393596067}",1521.5736949678437,39.00503655006393,29.557576669998774,22.35692240646323,0.4615465439861433,37.25881931666113,0.47541915193464895,0.2863081093449605,0.7408432630538392,0.012495456590946719
