number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
20,40.002085588986944,2024-07-10 18:26:37.291257,2024-07-10 18:26:48.842315,0 days 00:00:11.551058,5,3,9,252,COMPLETE,"{'mse': 1624.0728634781642, 'rmse': 40.29978738750571, 'mae': 30.473233683925567, 'mdae': 23.265246616849016, 'r2': 0.4563714892946309}","{'mse': 1565.888055097638, 'rmse': 39.57130342934938, 'mae': 30.36984258706777, 'mdae': 24.170250888244325, 'r2': 0.429283886517859}","{'mse': 1611.125608088594, 'rmse': 40.13882918183581, 'mae': 30.958093212723266, 'mdae': 24.54371233175393, 'r2': 0.4198580595417216}","{'mse': 1602.9562269075127, 'rmse': 40.03693578319291, 'mae': 30.84498445194617, 'mdae': 23.93841553013676, 'r2': 0.4176355947989794}","{'mse': 1597.0871000313773, 'rmse': 39.963572163050905, 'mae': 30.545817748784525, 'mdae': 23.70228905522025, 'r2': 0.4445877648389174}",1600.2259707206572,40.002085588986944,30.638394336889462,23.923982884440854,0.4335473589984217,21.701818163025138,0.2718438246963015,0.2514236241552527,0.48166441714678854,0.016595103510128856
21,38.996914934685535,2024-07-10 18:26:48.843313,2024-07-10 18:27:05.879884,0 days 00:00:17.036571,10,3,8,196,COMPLETE,"{'mse': 1582.0841612921026, 'rmse': 39.77542157277661, 'mae': 29.690539256892777, 'mdae': 21.739555395292733, 'r2': 0.4704264348264309}","{'mse': 1490.4295891539646, 'rmse': 38.60608228186285, 'mae': 29.27322091420036, 'mdae': 22.69883425126825, 'r2': 0.4567860839275023}","{'mse': 1534.6342684667973, 'rmse': 39.1744083358868, 'mae': 29.88282899130886, 'mdae': 22.946660708293493, 'r2': 0.44740143292841184}","{'mse': 1499.8418522458273, 'rmse': 38.72779172952968, 'mae': 29.472307919822658, 'mdae': 22.548810930657304, 'r2': 0.4550977166333221}","{'mse': 1497.757397069183, 'rmse': 38.700870753371724, 'mae': 29.113601071560506, 'mdae': 21.33713092221575, 'r2': 0.4791312360992105}",1520.949453645575,38.996914934685535,29.48649963075703,22.254198441545505,0.4617685808829755,38.208608615719726,0.48744130733284324,0.30961737762728464,0.6837162812461349,0.012768720346622289
22,38.992266209051216,2024-07-10 18:27:05.880882,2024-07-10 18:27:21.894974,0 days 00:00:16.014092,10,3,6,197,COMPLETE,"{'mse': 1580.0176628788638, 'rmse': 39.74943600705378, 'mae': 29.658363401621884, 'mdae': 21.662138868943437, 'r2': 0.47111815714999583}","{'mse': 1490.8633486951423, 'rmse': 38.611699634892304, 'mae': 29.272846211447646, 'mdae': 22.856909106195264, 'r2': 0.456627992447897}","{'mse': 1534.6904018207445, 'rmse': 39.17512478372908, 'mae': 29.868433622451064, 'mdae': 23.03676153970843, 'r2': 0.4473812201574646}","{'mse': 1499.0866265417365, 'rmse': 38.71804006586253, 'mae': 29.468512155155192, 'mdae': 22.71773749480368, 'r2': 0.4553720950352851}","{'mse': 1498.2342142864907, 'rmse': 38.70703055371841, 'mae': 29.12546997276815, 'mdae': 21.400336668544423, 'r2': 0.47896541538948034}",1520.5784508445954,38.992266209051216,29.478725072688786,22.33477673563905,0.4618929760360245,37.337373376383496,0.4764802292301308,0.2964043934349355,0.7479444764304971,0.012819956629713834
23,39.035940072603196,2024-07-10 18:27:21.895974,2024-07-10 18:27:31.865245,0 days 00:00:09.969271,9,3,6,113,COMPLETE,"{'mse': 1578.4608295606665, 'rmse': 39.7298480938534, 'mae': 29.718314981512915, 'mdae': 21.77928529636402, 'r2': 0.4716392784600185}","{'mse': 1486.3816902964843, 'rmse': 38.553620975162424, 'mae': 29.248178192107765, 'mdae': 23.100423624421634, 'r2': 0.45826141359502826}","{'mse': 1538.2986886155888, 'rmse': 39.221151036342484, 'mae': 29.95901060108413, 'mdae': 23.05946874649288, 'r2': 0.4460819307089068}","{'mse': 1511.2280642007074, 'rmse': 38.874516899901245, 'mae': 29.693968153384027, 'mdae': 22.776477536979648, 'r2': 0.45096103189964776}","{'mse': 1505.483716879272, 'rmse': 38.800563357756445, 'mae': 29.23466292435858, 'mdae': 21.840686962988656, 'r2': 0.476444286492513}",1523.9705979105438,39.035940072603196,29.570826970489485,22.511268433449366,0.46067758823122285,35.677522474819675,0.4554950036438107,0.3180846960654786,0.6525799016918282,0.013057852159339307
24,39.02294337317005,2024-07-10 18:27:31.866274,2024-07-10 18:27:45.848186,0 days 00:00:13.981912,10,2,4,159,COMPLETE,"{'mse': 1586.4607722233884, 'rmse': 39.830400101221535, 'mae': 29.722874737444275, 'mdae': 22.049496054039928, 'r2': 0.46896144483982627}","{'mse': 1485.3444507380016, 'rmse': 38.540166719125665, 'mae': 29.222937560863738, 'mdae': 23.0799818685817, 'r2': 0.45863945423953034}","{'mse': 1538.6941065531873, 'rmse': 39.226191588697304, 'mae': 29.92785256398616, 'mdae': 23.251594089379346, 'r2': 0.4459395466958548}","{'mse': 1506.1391308315347, 'rmse': 38.80900837217481, 'mae': 29.57948170429726, 'mdae': 22.9295706343351, 'r2': 0.45280987443501974}","{'mse': 1498.3828166544504, 'rmse': 38.70895008463095, 'mae': 29.10560110052635, 'mdae': 21.471164164955695, 'r2': 0.47891373657162684}",1523.0042554001125,39.02294337317005,29.511749533423558,22.556361362258354,0.4610528113563716,40.56417605584,0.5173802934929365,0.3430277451701934,0.763442456570135,0.013074213202734048
25,39.114255078966664,2024-07-10 18:27:45.849184,2024-07-10 18:28:01.979579,0 days 00:00:16.130395,8,3,6,232,COMPLETE,"{'mse': 1583.3818022588887, 'rmse': 39.79173032501714, 'mae': 29.802138792272547, 'mdae': 22.062943608703492, 'r2': 0.4699920733873182}","{'mse': 1494.9552455415303, 'rmse': 38.66465111107988, 'mae': 29.407776565178736, 'mdae': 22.548734740902173, 'r2': 0.4551366269206245}","{'mse': 1544.632025676029, 'rmse': 39.30180690090506, 'mae': 30.052160888372406, 'mdae': 23.238164100905323, 'r2': 0.4438013919145547}","{'mse': 1516.6095942279783, 'rmse': 38.94367206913054, 'mae': 29.731956223781044, 'mdae': 22.938979818166757, 'r2': 0.44900588709856404}","{'mse': 1510.8314215638302, 'rmse': 38.8694149887007, 'mae': 29.372630012411282, 'mdae': 22.41730935409076, 'r2': 0.4745845378214647}",1530.0820178536512,39.114255078966664,29.6733324964032,22.641226324553703,0.4585041034285052,34.77984881438853,0.44309630891864477,0.28481603286886337,0.4577379856296507,0.013306761076467917
26,39.25385551532305,2024-07-10 18:28:01.980575,2024-07-10 18:28:19.704804,0 days 00:00:17.724229,7,4,5,287,COMPLETE,"{'mse': 1586.625420058903, 'rmse': 39.83246690902916, 'mae': 29.89899715075966, 'mdae': 22.642383257192176, 'r2': 0.4689063320061446}","{'mse': 1508.6661703795178, 'rmse': 38.841552110845385, 'mae': 29.645135622936113, 'mdae': 23.2409669803507, 'r2': 0.4501394333407207}","{'mse': 1556.527977926398, 'rmse': 39.45285766489416, 'mae': 30.216568248934987, 'mdae': 23.37217376082159, 'r2': 0.4395178396033753}","{'mse': 1527.2769071814043, 'rmse': 39.080390315110776, 'mae': 29.879365120360315, 'mdae': 23.033153730493783, 'r2': 0.44513038303991603}","{'mse': 1525.8406702970158, 'rmse': 39.06201057673575, 'mae': 29.605542899916834, 'mdae': 22.633755848345217, 'r2': 0.4693648347840891}",1540.9874291686479,39.25385551532305,29.849121808581582,22.98448671544069,0.4546117645548492,30.766870800355203,0.3909225479396684,0.2446222306300122,0.3385626851403565,0.013781442705408502
27,39.0482292658725,2024-07-10 18:28:19.705871,2024-07-10 18:28:27.009555,0 days 00:00:07.303684,9,3,7,92,COMPLETE,"{'mse': 1578.2040853875585, 'rmse': 39.72661683792818, 'mae': 29.702961803605834, 'mdae': 21.533828001231768, 'r2': 0.4717252188482842}","{'mse': 1486.8870713992121, 'rmse': 38.56017468061072, 'mae': 29.27120257425623, 'mdae': 22.910909573580298, 'r2': 0.45807721834694703}","{'mse': 1540.1384440392908, 'rmse': 39.24459764144984, 'mae': 29.999417087112914, 'mdae': 23.200323711026552, 'r2': 0.44541946263309895}","{'mse': 1515.1206376529747, 'rmse': 38.92455057740519, 'mae': 29.7111065514294, 'mdae': 22.604344870206297, 'r2': 0.44954683469003076}","{'mse': 1504.2922503816806, 'rmse': 38.785206591968546, 'mae': 29.259268657142904, 'mdae': 21.751113965715177, 'r2': 0.4768586377639833}",1524.9284977721434,39.0482292658725,29.58879133470946,22.40010402435202,0.4603254744564689,35.492357093401104,0.453167976585423,0.31861310101085694,0.7270850059693247,0.013663112569787621
28,39.2692241291726,2024-07-10 18:28:27.010556,2024-07-10 18:28:36.520788,0 days 00:00:09.510232,7,2,4,153,COMPLETE,"{'mse': 1584.5352160892053, 'rmse': 39.80622082148977, 'mae': 29.909614092208958, 'mdae': 22.699010097775847, 'r2': 0.46960598932859}","{'mse': 1507.0546391270332, 'rmse': 38.820801629114165, 'mae': 29.600058946326836, 'mdae': 22.915488807638084, 'r2': 0.45072678493982066}","{'mse': 1556.9817104625158, 'rmse': 39.458607558586195, 'mae': 30.22921452988216, 'mdae': 23.489366650748387, 'r2': 0.4393544573862279}","{'mse': 1532.6655357633738, 'rmse': 39.14927248063971, 'mae': 29.998815250114877, 'mdae': 22.824459789496125, 'r2': 0.44317265928781957}","{'mse': 1529.6873856488157, 'rmse': 39.11121815603313, 'mae': 29.634061042957786, 'mdae': 22.49311543443403, 'r2': 0.4680270788335653}",1542.1848974181887,39.2692241291726,29.874352772298124,22.884288156018492,0.4541773939552047,29.552649044330625,0.37572215631640543,0.2625063590739797,0.37350266259585635,0.013987366287386303
29,38.994080716497095,2024-07-10 18:28:36.521787,2024-07-10 18:28:52.218753,0 days 00:00:15.696966,10,4,9,203,COMPLETE,"{'mse': 1581.4129951375992, 'rmse': 39.76698373195532, 'mae': 29.687490755012572, 'mdae': 21.593310478915008, 'r2': 0.47065109534826677}","{'mse': 1491.8573891291, 'rmse': 38.6245697597928, 'mae': 29.299004933735613, 'mdae': 22.737884649317564, 'r2': 0.4562656965026245}","{'mse': 1531.3308065000367, 'rmse': 39.132222100208374, 'mae': 29.851702660081678, 'mdae': 23.09638925262048, 'r2': 0.4485909595711546}","{'mse': 1502.0251127729368, 'rmse': 38.75596873738208, 'mae': 29.483448564200927, 'mdae': 22.921294954091543, 'r2': 0.4543045239079524}","{'mse': 1496.967113443125, 'rmse': 38.69065925314694, 'mae': 29.12256566728781, 'mdae': 21.679060106445853, 'r2': 0.47940606969792365}",1520.7186833965595,38.994080716497095,29.48884251606372,22.40558788827809,0.4618436690055844,37.22558797113891,0.4748058443569935,0.2921278569754619,0.7143561170103159,0.01274358142615729
30,38.99326414964449,2024-07-10 18:28:52.237761,2024-07-10 18:29:11.563884,0 days 00:00:19.326123,10,3,6,230,COMPLETE,"{'mse': 1582.1329977106975, 'rmse': 39.77603546999999, 'mae': 29.673626689090785, 'mdae': 21.693058475291124, 'r2': 0.4704100877338182}","{'mse': 1490.0228674384966, 'rmse': 38.6008143364683, 'mae': 29.271489899116617, 'mdae': 22.835699611953473, 'r2': 0.45693432098440123}","{'mse': 1533.6831543086187, 'rmse': 39.162266971009466, 'mae': 29.868594068279624, 'mdae': 23.167923311816814, 'r2': 0.4477439147377462}","{'mse': 1498.575947177536, 'rmse': 38.71144465371366, 'mae': 29.457252341750532, 'mdae': 22.704774607056088, 'r2': 0.4555576281641309}","{'mse': 1498.9100194942753, 'rmse': 38.715759317031036, 'mae': 29.150988945959057, 'mdae': 21.68220079858925, 'r2': 0.4787303934667676}",1520.664997225925,38.99326414964449,29.484390388839323,22.416731360941352,0.46187526901737286,38.23588891172827,0.4877860468158579,0.291822916709317,0.6866640820851152,0.012459525250973349
31,38.99223841515648,2024-07-10 18:29:11.564885,2024-07-10 18:29:33.486996,0 days 00:00:21.922111,10,3,6,233,COMPLETE,"{'mse': 1582.003919862434, 'rmse': 39.774412878915435, 'mae': 29.669722893680404, 'mdae': 21.69315286123038, 'r2': 0.4704532941686984}","{'mse': 1490.000287765354, 'rmse': 38.60052185871784, 'mae': 29.273749468176717, 'mdae': 22.903121901811705, 'r2': 0.4569425505530844}","{'mse': 1534.031982516878, 'rmse': 39.16672034415031, 'mae': 29.86708258799099, 'mdae': 23.119659759103637, 'r2': 0.447618306980902}","{'mse': 1497.7494905423202, 'rmse': 38.70076860402543, 'mae': 29.45628812746642, 'mdae': 22.76799899221704, 'r2': 0.45585788522587256}","{'mse': 1499.1430256364015, 'rmse': 38.71876838997338, 'mae': 29.152378359906493, 'mdae': 21.64264287464392, 'r2': 0.4786493619048684}",1520.5857412646776,38.99223841515648,29.483844287444207,22.42531527780134,0.4619042797666852,38.3071417375633,0.4887287594782462,0.28991002372136726,0.7029373108058997,0.012437343820413766
32,39.034537871774944,2024-07-10 18:29:33.486996,2024-07-10 18:29:46.598207,0 days 00:00:13.111211,9,3,7,177,COMPLETE,"{'mse': 1578.4759281353997, 'rmse': 39.73003810890948, 'mae': 29.700589463763954, 'mdae': 21.787521708724643, 'r2': 0.4716342244899162}","{'mse': 1488.9131440920814, 'rmse': 38.58643730758362, 'mae': 29.288179587592882, 'mdae': 23.216920444087428, 'r2': 0.4573387796513184}","{'mse': 1538.1954597733372, 'rmse': 39.21983502990977, 'mae': 29.952140114299304, 'mdae': 23.14092637646588, 'r2': 0.4461191018522084}","{'mse': 1510.024037824622, 'rmse': 38.859027751921715, 'mae': 29.62659988169765, 'mdae': 23.036225105593104, 'r2': 0.45139846249980087}","{'mse': 1503.6829630286195, 'rmse': 38.77735116055014, 'mae': 29.209631185657667, 'mdae': 21.65209681608566, 'r2': 0.4770705270533103}",1523.858306570812,39.034537871774944,29.555428046602287,22.566738090191343,0.4607122191093108,35.384440107119744,0.4516078328863294,0.3059881287246788,0.7772699287389361,0.01320955778557861
33,38.991749334888624,2024-07-10 18:29:46.599436,2024-07-10 18:30:06.266426,0 days 00:00:19.666990,10,3,5,241,COMPLETE,"{'mse': 1582.2187101399252, 'rmse': 39.77711289347085, 'mae': 29.677039234940185, 'mdae': 21.596358062786287, 'r2': 0.47038139707510584}","{'mse': 1490.8979420604212, 'rmse': 38.61214759710241, 'mae': 29.281569742167243, 'mdae': 22.949996934149556, 'r2': 0.45661538427267023}","{'mse': 1534.906273467137, 'rmse': 39.17787990010609, 'mae': 29.879771251631084, 'mdae': 23.071778594929988, 'r2': 0.4473034880457042}","{'mse': 1497.1847781015679, 'rmse': 38.69347203471882, 'mae': 29.44755893927852, 'mdae': 22.793733843114545, 'r2': 0.45606304892226546}","{'mse': 1497.5455943571058, 'rmse': 38.69813424904495, 'mae': 29.14396344626738, 'mdae': 21.56589364584167, 'r2': 0.4792048938337985}",1520.5506596252312,38.991749334888624,29.485980522856885,22.39555221616441,0.46191364242990884,38.61189327593164,0.49262489589417885,0.29656796672815694,0.7500473829673099,0.012712669260097289
34,39.02331311885147,2024-07-10 18:30:06.266426,2024-07-10 18:30:25.342901,0 days 00:00:19.076475,9,3,5,257,COMPLETE,"{'mse': 1581.8579432547144, 'rmse': 39.77257777985624, 'mae': 29.7329197764127, 'mdae': 21.625888586161818, 'r2': 0.4705021571523964}","{'mse': 1489.2365368646965, 'rmse': 38.5906275780104, 'mae': 29.29449339032796, 'mdae': 22.82736512332716, 'r2': 0.4572209133289372}","{'mse': 1537.4797810850453, 'rmse': 39.21071003036091, 'mae': 29.948295643891605, 'mdae': 23.347421551688118, 'r2': 0.446376806913121}","{'mse': 1505.617645604225, 'rmse': 38.80228917994691, 'mae': 29.58128533278695, 'mdae': 22.91402337705852, 'r2': 0.4529993334040954}","{'mse': 1500.8155724312433, 'rmse': 38.7403610260829, 'mae': 29.21386080551172, 'mdae': 21.692826745927626, 'r2': 0.4780677073703622}",1523.0014958479849,39.02331311885147,29.554170989786183,22.481505076832644,0.46103338363378243,37.443918221257725,0.4776623756111113,0.30465719935356705,0.7763046570072515,0.012978077584878532
35,38.974363664887356,2024-07-10 18:30:25.343900,2024-07-10 18:30:53.320605,0 days 00:00:27.976705,10,4,4,358,COMPLETE,"{'mse': 1581.2409044879537, 'rmse': 39.7648199353141, 'mae': 29.692118264287686, 'mdae': 21.755617441221005, 'r2': 0.47070869952704275}","{'mse': 1489.4341020818854, 'rmse': 38.593187249589604, 'mae': 29.309214381227825, 'mdae': 22.94197713517572, 'r2': 0.45714890712610157}","{'mse': 1533.1878563505934, 'rmse': 39.15594279736594, 'mae': 29.890520393846725, 'mdae': 23.240846528294682, 'r2': 0.44792226403405877}","{'mse': 1496.062099531374, 'rmse': 38.678961975877456, 'mae': 29.420422603606564, 'mdae': 22.645743335871504, 'r2': 0.45647092533634837}","{'mse': 1496.0577976922068, 'rmse': 38.67890636628971, 'mae': 29.141986515580594, 'mdae': 21.508628826693283, 'r2': 0.4797222985959436}",1519.1965520288027,38.974363664887356,29.49085243170988,22.41856265345124,0.462394618923899,38.73521182383087,0.49437959341795207,0.29995940759883055,0.7531932813808084,0.012663225429711635
36,39.09811341678183,2024-07-10 18:30:53.320605,2024-07-10 18:31:18.814240,0 days 00:00:25.493635,8,4,3,374,COMPLETE,"{'mse': 1584.5496474176496, 'rmse': 39.80640209084023, 'mae': 29.812475335561157, 'mdae': 22.157247340157134, 'r2': 0.46960115870690666}","{'mse': 1493.9725246390362, 'rmse': 38.651940761610355, 'mae': 29.448459385496896, 'mdae': 22.9213190814612, 'r2': 0.4554947972587169}","{'mse': 1544.46386191098, 'rmse': 39.2996674529312, 'mae': 30.070245756903887, 'mdae': 23.196737652720195, 'r2': 0.44386194514049837}","{'mse': 1512.6444055324405, 'rmse': 38.89272946878941, 'mae': 29.693404051772145, 'mdae': 22.912388157239114, 'r2': 0.4504464658975508}","{'mse': 1508.5321854502668, 'rmse': 38.83982730973796, 'mae': 29.3532538315146, 'mdae': 22.3334609129287, 'r2': 0.47538413345339503}",1528.8325249900747,39.09811341678183,29.675567672249734,22.704230628901268,0.45895770009141357,36.18741164764604,0.46104804323820237,0.2873573650767345,0.4386573326063553,0.013185461172868495
37,39.00667849639077,2024-07-10 18:31:18.814240,2024-07-10 18:31:44.899618,0 days 00:00:26.085378,9,4,4,347,COMPLETE,"{'mse': 1582.0252927190336, 'rmse': 39.77468155396135, 'mae': 29.732860202773747, 'mdae': 21.799096032643163, 'r2': 0.4704461399981781}","{'mse': 1490.042145729378, 'rmse': 38.601064049186235, 'mae': 29.35246537226837, 'mdae': 22.733906154099756, 'r2': 0.4569272946639623}","{'mse': 1535.3121982450514, 'rmse': 39.18306009291581, 'mae': 29.94634452617069, 'mdae': 23.330416774318337, 'r2': 0.44715732067851877}","{'mse': 1500.0914223899865, 'rmse': 38.731013702070676, 'mae': 29.52175102198524, 'mdae': 22.577251396238637, 'r2': 0.4550070461794946}","{'mse': 1501.0644553012862, 'rmse': 38.743573083819804, 'mae': 29.233631004816992, 'mdae': 21.589766891884295, 'r2': 0.47798115442585387}",1521.7071028769471,39.00667849639077,29.557410425603006,22.40608744983684,0.46150379118920154,37.81338618401521,0.48235821252550504,0.28729755488469405,0.71168193973706,0.012454339943715956
38,40.64845941984828,2024-07-10 18:31:44.899618,2024-07-10 18:31:57.255853,0 days 00:00:12.356235,4,1,2,316,COMPLETE,"{'mse': 1668.7304869762088, 'rmse': 40.85009775968974, 'mae': 31.119937675467682, 'mdae': 24.20954271338411, 'r2': 0.4414231714575295}","{'mse': 1621.407081796843, 'rmse': 40.266699415234456, 'mae': 31.11604920967876, 'mdae': 25.271975426169526, 'r2': 0.40904897697951026}","{'mse': 1656.5795063338378, 'rmse': 40.7010995715575, 'mae': 31.573268093853283, 'mdae': 25.184366786638886, 'r2': 0.40349079891536155}","{'mse': 1666.6297736335305, 'rmse': 40.82437719835455, 'mae': 31.570417512859564, 'mdae': 24.775283900715152, 'r2': 0.3945025818422404}","{'mse': 1648.3618801382363, 'rmse': 40.60002315440517, 'mae': 31.254707162906893, 'mdae': 24.688771266272997, 'r2': 0.4267561511304452}",1652.3417457757314,40.64845941984828,31.326875930953236,24.82598801863613,0.4150443360650174,19.127793643861306,0.2358298345170685,0.2304893051337072,0.4268325983638136,0.018870623907105314
39,39.089962462574434,2024-07-10 18:31:57.256851,2024-07-10 18:32:24.430545,0 days 00:00:27.173694,8,4,3,416,COMPLETE,"{'mse': 1583.4770362852385, 'rmse': 39.79292696303249, 'mae': 29.802735113674554, 'mdae': 21.95191367553804, 'r2': 0.46996019554915136}","{'mse': 1492.483231747152, 'rmse': 38.63267052310974, 'mae': 29.439485605981158, 'mdae': 22.93318991247743, 'r2': 0.4560375968849901}","{'mse': 1543.04220460883, 'rmse': 39.281575892634834, 'mae': 30.054284631061527, 'mdae': 23.130316962494135, 'r2': 0.44437386241237053}","{'mse': 1513.1289316203147, 'rmse': 38.89895797602186, 'mae': 29.708092369481903, 'mdae': 23.014985522258108, 'r2': 0.450270434423807}","{'mse': 1508.8315503725796, 'rmse': 38.843680958073215, 'mae': 29.343612265298088, 'mdae': 22.398880315803154, 'r2': 0.47528002457878993}",1528.192590926823,39.089962462574434,29.669641997099443,22.68585727771417,0.45918442276982174,35.89499610377757,0.4574734983378104,0.28566130078660146,0.4970091127970304,0.013075741623982935
40,38.980689292353766,2024-07-10 18:32:24.431545,2024-07-10 18:32:48.020782,0 days 00:00:23.589237,10,4,4,294,COMPLETE,"{'mse': 1582.4621656996278, 'rmse': 39.78017302249486, 'mae': 29.699145433749827, 'mdae': 21.725673691078924, 'r2': 0.4702999048056885}","{'mse': 1491.0046066370066, 'rmse': 38.613528803218784, 'mae': 29.29558249905186, 'mdae': 22.93780040999954, 'r2': 0.4565765084460127}","{'mse': 1530.6882497358147, 'rmse': 39.124011166236706, 'mae': 29.86774915627932, 'mdae': 22.80302306248567, 'r2': 0.4488223345342107}","{'mse': 1498.0786613517382, 'rmse': 38.70502113875845, 'mae': 29.425537942567054, 'mdae': 22.836236797094486, 'r2': 0.45573829533351096}","{'mse': 1496.1975064382204, 'rmse': 38.68071233106004, 'mae': 29.142653441218098, 'mdae': 21.555433351046915, 'r2': 0.47967371267543024}",1519.6862379724816,38.980689292353766,29.486133694573233,22.371633462341105,0.46222215115897064,38.41583403174527,0.49002584811648897,0.29536614961811114,0.6719272479523837,0.012482746662140831
41,38.980689292353766,2024-07-10 18:32:48.021780,2024-07-10 18:33:12.157158,0 days 00:00:24.135378,10,4,4,294,COMPLETE,"{'mse': 1582.4621656996278, 'rmse': 39.78017302249486, 'mae': 29.69914543374983, 'mdae': 21.72567369107893, 'r2': 0.4702999048056885}","{'mse': 1491.0046066370066, 'rmse': 38.613528803218784, 'mae': 29.29558249905186, 'mdae': 22.937800409999532, 'r2': 0.4565765084460127}","{'mse': 1530.6882497358147, 'rmse': 39.124011166236706, 'mae': 29.867749156279327, 'mdae': 22.80302306248567, 'r2': 0.4488223345342107}","{'mse': 1498.0786613517382, 'rmse': 38.70502113875845, 'mae': 29.425537942567054, 'mdae': 22.83623679709447, 'r2': 0.45573829533351096}","{'mse': 1496.1975064382204, 'rmse': 38.68071233106004, 'mae': 29.142653441218094, 'mdae': 21.555433351046915, 'r2': 0.47967371267543024}",1519.6862379724816,38.980689292353766,29.486133694573237,22.3716334623411,0.46222215115897064,38.41583403174527,0.49002584811648897,0.29536614961811514,0.671927247952378,0.012482746662140831
42,38.98386297166305,2024-07-10 18:33:12.157667,2024-07-10 18:33:37.514492,0 days 00:00:25.356825,10,4,4,298,COMPLETE,"{'mse': 1583.094781668848, 'rmse': 39.78812362588676, 'mae': 29.704969415829403, 'mdae': 21.768054534842637, 'r2': 0.47008814824911427}","{'mse': 1490.7509336287549, 'rmse': 38.61024389496594, 'mae': 29.295393704568507, 'mdae': 22.953711093458473, 'r2': 0.45666896414416647}","{'mse': 1530.5788702074292, 'rmse': 39.12261328448586, 'mae': 29.867673307369966, 'mdae': 22.850170882430906, 'r2': 0.4488617204464733}","{'mse': 1498.442670378255, 'rmse': 38.70972320203614, 'mae': 29.42769249788539, 'mdae': 22.69102886362591, 'r2': 0.45560604849067343}","{'mse': 1496.8086095755157, 'rmse': 38.68861085094056, 'mae': 29.140568408524846, 'mdae': 21.415108374426907, 'r2': 0.47946119191848946}",1519.9351730917606,38.98386297166305,29.48725946683562,22.335614749756964,0.46213721464978336,38.57107040871441,0.4919360964076034,0.2969291566998216,0.6968835771998901,0.012370672726652899
43,39.0063559208878,2024-07-10 18:33:37.515491,2024-07-10 18:33:59.558190,0 days 00:00:22.042699,9,4,4,299,COMPLETE,"{'mse': 1583.2962955878438, 'rmse': 39.79065588285576, 'mae': 29.736713390998123, 'mdae': 21.619304955568754, 'r2': 0.4700206951722644}","{'mse': 1490.2285010412238, 'rmse': 38.603477836086526, 'mae': 29.330636951228463, 'mdae': 22.644809801772087, 'r2': 0.4568593741130921}","{'mse': 1533.5742813315806, 'rmse': 39.16087692240281, 'mae': 29.925216878131046, 'mdae': 23.100305703699142, 'r2': 0.4477831182485371}","{'mse': 1500.8687999703282, 'rmse': 38.74104799783207, 'mae': 29.52400775926056, 'mdae': 22.651323040570794, 'r2': 0.45472461985705814}","{'mse': 1500.4560786986256, 'rmse': 38.73572096526184, 'mae': 29.224963986002276, 'mdae': 21.684635504104875, 'r2': 0.4781927269873609}",1521.6847913259203,39.0063559208878,29.548307793124092,22.340075801143133,0.4615161068756626,38.11429969320949,0.4860415349299111,0.28726269873253685,0.6551335273710602,0.012317082781884944
44,38.9763531213314,2024-07-10 18:33:59.559190,2024-07-10 18:34:25.740077,0 days 00:00:26.180887,10,4,2,340,COMPLETE,"{'mse': 1582.1059257674312, 'rmse': 39.77569516384888, 'mae': 29.697685584279167, 'mdae': 21.804293656763512, 'r2': 0.4704191495687461}","{'mse': 1489.5577536716098, 'rmse': 38.59478920361672, 'mae': 29.311606379084616, 'mdae': 22.964575880577446, 'r2': 0.4571038400764592}","{'mse': 1532.6715227112998, 'rmse': 39.14934894364528, 'mae': 29.88707466354799, 'mdae': 22.94920217717447, 'r2': 0.4481081879607345}","{'mse': 1496.29095819926, 'rmse': 38.681920301340526, 'mae': 29.41766882217808, 'mdae': 22.675140032411395, 'r2': 0.45638777949633025}","{'mse': 1496.1433278718878, 'rmse': 38.680011994205586, 'mae': 29.1359670164599, 'mdae': 21.456165052752027, 'r2': 0.4796925541266097}",1519.3538976442976,38.9763531213314,29.49000049310995,22.36987535993577,0.4623423022457759,38.96670402933224,0.4972361179283499,0.30132915020398526,0.6959209687712562,0.01256756280628424
45,39.0072503760605,2024-07-10 18:34:25.741076,2024-07-10 18:34:51.138963,0 days 00:00:25.397887,9,4,2,346,COMPLETE,"{'mse': 1582.0351686418835, 'rmse': 39.77480570212611, 'mae': 29.732742183641513, 'mdae': 21.80547408061419, 'r2': 0.47044283421470523}","{'mse': 1490.0228579558934, 'rmse': 38.60081421363925, 'mae': 29.35163580846088, 'mdae': 22.725728101693313, 'r2': 0.45693432444050675}","{'mse': 1535.4701529067072, 'rmse': 39.18507563992581, 'mae': 29.949447789365138, 'mdae': 23.35480788657874, 'r2': 0.4471004435961502}","{'mse': 1500.1588903677282, 'rmse': 38.731884673582925, 'mae': 29.521752211384435, 'mdae': 22.61905453217889, 'r2': 0.45498253462511273}","{'mse': 1501.0720930027012, 'rmse': 38.74367165102839, 'mae': 29.23251471299615, 'mdae': 21.615266544592984, 'r2': 0.4779784982946922}",1521.7518325749827,39.0072503760605,29.55761854116962,22.424066229131622,0.4614877270342335,37.82495053665219,0.48250735008771795,0.2887932776111458,0.712761098213718,0.012471812313838882
