number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_max_leaves,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,accuracy,balanced_accuracy,precision,recall,f1,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std
16,0.21534102145881046,2024-07-10 20:27:58.184625,2024-07-10 20:28:12.057719,0 days 00:00:13.873094,1.8261883875182505,0.737100571964584,6.394684662708778,2.8546271189156833,0.13273876832073694,7,1,316,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
17,0.5804421206431709,2024-07-10 20:28:12.058719,2024-07-10 20:28:19.997365,0 days 00:00:07.938646,2.036112835028515,0.5004403024714282,0.978648488067523,2.727781488889952,0.2598391755853394,8,2,145,COMPLETE,"{'accuracy': 0.6031073446327684, 'balanced_accuracy': 0.6228417201841449, 'precision': 0.6011985082107788, 'recall': 0.6031073446327684, 'f1': 0.5941144335537837}","{'accuracy': 0.5939265536723164, 'balanced_accuracy': 0.6138852702881866, 'precision': 0.5891824885213445, 'recall': 0.5939265536723164, 'f1': 0.5825868105548135}","{'accuracy': 0.5861581920903954, 'balanced_accuracy': 0.605789239553376, 'precision': 0.5852999580240431, 'recall': 0.5861581920903954, 'f1': 0.576141129956078}","{'accuracy': 0.5953389830508474, 'balanced_accuracy': 0.6160718695877989, 'precision': 0.5946901708525143, 'recall': 0.5953389830508474, 'f1': 0.5820398962726917}","{'accuracy': 0.5780918727915194, 'balanced_accuracy': 0.5952826756942291, 'precision': 0.5731288109887704, 'recall': 0.5780918727915194, 'f1': 0.5673283328784872}",0.5913245892475694,0.6107741550615471,0.5886999873194902,0.5913245892475694,0.5804421206431709,0.009533039197112757,0.010585441190083542,0.01056349684256292,0.009533039197112757,0.009805032796129876
18,0.548350569799733,2024-07-10 20:28:19.998364,2024-07-10 20:28:36.712413,0 days 00:00:16.714049,4.687032985205843,0.9478668969549889,5.895374498936984,5.067762568716672,0.20882217200014286,5,3,383,COMPLETE,"{'accuracy': 0.567090395480226, 'balanced_accuracy': 0.5947045943351619, 'precision': 0.5610806652755257, 'recall': 0.567090395480226, 'f1': 0.5496044811443155}","{'accuracy': 0.5692090395480226, 'balanced_accuracy': 0.5983898158958558, 'precision': 0.5625336610286014, 'recall': 0.5692090395480226, 'f1': 0.5468909029318824}","{'accuracy': 0.577683615819209, 'balanced_accuracy': 0.6077606629995712, 'precision': 0.5763583172876434, 'recall': 0.577683615819209, 'f1': 0.5549467558331511}","{'accuracy': 0.5769774011299436, 'balanced_accuracy': 0.6099701909008203, 'precision': 0.5757675503323431, 'recall': 0.5769774011299436, 'f1': 0.5481116191947241}","{'accuracy': 0.5674911660777385, 'balanced_accuracy': 0.5991439272167913, 'precision': 0.5614696419156163, 'recall': 0.5674911660777385, 'f1': 0.5421990898945914}",0.5716903236110279,0.60199383826964,0.567441967167946,0.571690323611028,0.548350569799733,0.005215883759798418,0.0065406902575128635,0.00789054710283091,0.005215883759798418,0.004612764724859391
19,0.5632286655339455,2024-07-10 20:28:36.713413,2024-07-10 20:28:50.051651,0 days 00:00:13.338238,1.0183449516743965,0.8170622704818848,2.8443665616879796,3.4910396732929994,0.022503608815514636,2,0,242,COMPLETE,"{'accuracy': 0.58545197740113, 'balanced_accuracy': 0.6142460726746174, 'precision': 0.5883314606660918, 'recall': 0.58545197740113, 'f1': 0.5621967823916392}","{'accuracy': 0.5903954802259888, 'balanced_accuracy': 0.619552201270035, 'precision': 0.5923675261768002, 'recall': 0.5903954802259888, 'f1': 0.5652177097832952}","{'accuracy': 0.5889830508474576, 'balanced_accuracy': 0.6182321986660174, 'precision': 0.597445760074221, 'recall': 0.5889830508474576, 'f1': 0.5698148852371542}","{'accuracy': 0.594632768361582, 'balanced_accuracy': 0.6245453579236355, 'precision': 0.6051444893971517, 'recall': 0.594632768361582, 'f1': 0.5676723759079777}","{'accuracy': 0.5809187279151944, 'balanced_accuracy': 0.6135785952665153, 'precision': 0.5863639150704457, 'recall': 0.5809187279151944, 'f1': 0.5512415743496607}",0.5880764009502706,0.6180308851601641,0.593930630276942,0.5880764009502706,0.5632286655339455,0.005179429954096815,0.004442436720642187,0.007568948864188477,0.005179429954096815,0.00727729837873955
20,0.21534102145881046,2024-07-10 20:28:50.052652,2024-07-10 20:28:58.312730,0 days 00:00:08.260078,2.30072511056228,0.6091330191487017,8.122160264329292,5.970123886998142,0.06839545006763606,7,1,152,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
21,0.6078881787954936,2024-07-10 20:28:58.313729,2024-07-10 20:29:07.209750,0 days 00:00:08.896021,4.017853673965407,0.5667377149841506,1.9068600052497553,7.518425696095944,0.25967729322068606,6,0,152,COMPLETE,"{'accuracy': 0.6137005649717514, 'balanced_accuracy': 0.6297397455307968, 'precision': 0.6130680762792975, 'recall': 0.6137005649717514, 'f1': 0.608460663714154}","{'accuracy': 0.6151129943502824, 'balanced_accuracy': 0.6295776852357337, 'precision': 0.6121193391635926, 'recall': 0.6151129943502824, 'f1': 0.6077558922143169}","{'accuracy': 0.6115819209039548, 'balanced_accuracy': 0.6294889025964711, 'precision': 0.6129373241376483, 'recall': 0.6115819209039548, 'f1': 0.6046444283671145}","{'accuracy': 0.617231638418079, 'balanced_accuracy': 0.6366127070766397, 'precision': 0.6197626769173454, 'recall': 0.617231638418079, 'f1': 0.6070583351877179}","{'accuracy': 0.6162544169611307, 'balanced_accuracy': 0.6297397947945093, 'precision': 0.6153419756693582, 'recall': 0.6162544169611307, 'f1': 0.6115215744941647}",0.6147763071210397,0.6310317670468301,0.6146458784334483,0.6147763071210396,0.6078881787954936,0.002218566161036632,0.0031217057893295663,0.0031007336304540783,0.002218566161036632,0.002487838433246322
22,0.602397464765952,2024-07-10 20:29:07.210750,2024-07-10 20:29:15.411964,0 days 00:00:08.201214,3.8091611630187265,0.5816705204349967,1.0879661981552793,7.59065599614855,0.26201562335050255,5,0,132,COMPLETE,"{'accuracy': 0.6094632768361582, 'balanced_accuracy': 0.6222693711218371, 'precision': 0.608142047868757, 'recall': 0.6094632768361582, 'f1': 0.6049030428079484}","{'accuracy': 0.5981638418079096, 'balanced_accuracy': 0.612044282391421, 'precision': 0.5924483165937487, 'recall': 0.5981638418079096, 'f1': 0.5896405263574138}","{'accuracy': 0.6009887005649718, 'balanced_accuracy': 0.6157900431286435, 'precision': 0.5989866214904195, 'recall': 0.6009887005649718, 'f1': 0.5954805555646969}","{'accuracy': 0.615819209039548, 'balanced_accuracy': 0.6313500790327778, 'precision': 0.6167246725018671, 'recall': 0.615819209039548, 'f1': 0.6101245833251041}","{'accuracy': 0.6141342756183745, 'balanced_accuracy': 0.6219340273934263, 'precision': 0.6129696486636342, 'recall': 0.6141342756183745, 'f1': 0.6118386157745964}",0.6077138607733924,0.6206775606136211,0.6058542614236853,0.6077138607733925,0.602397464765952,0.007848717983339809,0.007355891157737759,0.01001139818453984,0.007848717983339809,0.009561703893362817
23,0.21534102145881046,2024-07-10 20:29:15.412965,2024-07-10 20:29:28.482707,0 days 00:00:13.069742,2.7529278408555014,0.6774719186429645,3.7292034941273178,2.0060183990757876,0.29873884802674017,7,1,289,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
24,0.6033403816651983,2024-07-10 20:29:28.483706,2024-07-10 20:29:43.764820,0 days 00:00:15.281114,5.105911704274881,0.5101574779550887,2.0428910101742788,4.671614916189472,0.2701371420427408,9,0,333,COMPLETE,"{'accuracy': 0.606638418079096, 'balanced_accuracy': 0.6223876433075612, 'precision': 0.6051811178492777, 'recall': 0.606638418079096, 'f1': 0.601061122152632}","{'accuracy': 0.6122881355932204, 'balanced_accuracy': 0.6270282442031128, 'precision': 0.608198672107857, 'recall': 0.6122881355932204, 'f1': 0.6048935117520132}","{'accuracy': 0.6094632768361582, 'balanced_accuracy': 0.6269953171842998, 'precision': 0.6088437429890619, 'recall': 0.6094632768361582, 'f1': 0.6019315281805356}","{'accuracy': 0.6179378531073446, 'balanced_accuracy': 0.6368863827600079, 'precision': 0.6202204804966529, 'recall': 0.6179378531073446, 'f1': 0.6093495492318761}","{'accuracy': 0.6042402826855123, 'balanced_accuracy': 0.6160925703168448, 'precision': 0.6019607803646213, 'recall': 0.6042402826855123, 'f1': 0.5994661970089352}",0.6101135932602663,0.6258780315543653,0.6088809587614942,0.6101135932602663,0.6033403816651983,0.00531373709387317,0.007610735416623881,0.006903429312556237,0.00531373709387317,0.0038958794491320216
25,0.5987004519635952,2024-07-10 20:29:43.765821,2024-07-10 20:30:01.117936,0 days 00:00:17.352115,1.1641454702444296,0.567598724154567,4.436418207217651,7.065410466488582,0.24978776931407232,8,0,396,COMPLETE,"{'accuracy': 0.6038135593220338, 'balanced_accuracy': 0.6213369203886163, 'precision': 0.6039243860671883, 'recall': 0.6038135593220338, 'f1': 0.5975877117579813}","{'accuracy': 0.606638418079096, 'balanced_accuracy': 0.6248934879360322, 'precision': 0.6039749202617536, 'recall': 0.606638418079096, 'f1': 0.5970522991786608}","{'accuracy': 0.6094632768361582, 'balanced_accuracy': 0.6334604424672103, 'precision': 0.61516067556162, 'recall': 0.6094632768361582, 'f1': 0.5972938974270274}","{'accuracy': 0.6129943502824858, 'balanced_accuracy': 0.6343432151144285, 'precision': 0.6163529468330736, 'recall': 0.6129943502824858, 'f1': 0.6020723134599681}","{'accuracy': 0.610600706713781, 'balanced_accuracy': 0.6305052051126415, 'precision': 0.610716102579102, 'recall': 0.610600706713781, 'f1': 0.5994960379943384}",0.608702062246711,0.6289078542037857,0.6100258062605476,0.608702062246711,0.5987004519635952,0.0035624473027922425,0.0056181605845817195,0.005931202435369748,0.0035624473027922425,0.002117510396376617
26,0.21534102145881046,2024-07-10 20:30:01.118936,2024-07-10 20:30:12.633036,0 days 00:00:11.514100,3.861234065656378,0.9225656921190698,0.8269947518320149,3.420155751669085,0.17893852270187294,7,1,243,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
