number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
16,40.296129089116384,2024-07-10 21:10:14.435275,2024-07-10 21:10:25.574888,0 days 00:00:11.139613,6,0.9219900508555976,2,18,272,COMPLETE,"{'mse': 1676.4907517209444, 'rmse': 40.94497223983605, 'mae': 31.542723314508475, 'mdae': 25.554778022180308, 'r2': 0.4388255656106925}","{'mse': 1589.5294524887252, 'rmse': 39.8689033268878, 'mae': 31.134513247864056, 'mdae': 25.71433447122773, 'r2': 0.42066735330374827}","{'mse': 1617.2887653064372, 'rmse': 40.2155289074561, 'mae': 31.522786294534406, 'mdae': 26.341935653213376, 'r2': 0.4176387999323167}","{'mse': 1626.6779856193405, 'rmse': 40.332096221487674, 'mae': 31.521079798452398, 'mdae': 24.837608404390124, 'r2': 0.40901732583402595}","{'mse': 1609.545775464575, 'rmse': 40.119144749914284, 'mae': 31.193900923326165, 'mdae': 25.399410504716002, 'r2': 0.44025506390522207}",1623.9065461200046,40.296129089116384,31.383000715737104,25.569613411145507,0.4252808217172011,32.42140835477546,0.4008218950996506,0.20101113331187215,0.5437017286301861,0.013710159575570324
17,39.19960358914098,2024-07-10 21:10:25.575887,2024-07-10 21:10:37.513797,0 days 00:00:11.937910,9,0.7989009093128052,7,7,264,COMPLETE,"{'mse': 1586.3273037057254, 'rmse': 39.82872460556232, 'mae': 30.30406798836755, 'mdae': 23.06759468248024, 'r2': 0.46900612097050653}","{'mse': 1502.039491246019, 'rmse': 38.75615423705013, 'mae': 29.901171430606958, 'mdae': 23.922295385354442, 'r2': 0.45255464594040284}","{'mse': 1547.376534500815, 'rmse': 39.33670721477352, 'mae': 30.361851340213438, 'mdae': 24.256137408271606, 'r2': 0.44281313583618154}","{'mse': 1527.15354995567, 'rmse': 39.07881203357735, 'mae': 30.107458911863905, 'mdae': 24.025992407515133, 'r2': 0.4451751995209815}","{'mse': 1520.8143543349308, 'rmse': 38.99761985474153, 'mae': 29.791888060580163, 'mdae': 22.880071575528742, 'r2': 0.47111281545657246}",1536.7422467486322,39.19960358914098,30.093287546326405,23.630418291830033,0.456132383544929,32.10018711720526,0.408235843046587,0.24723773258873796,0.6150175081472041,0.013232619763207954
18,39.782724422470054,2024-07-10 21:10:37.514796,2024-07-10 21:10:44.129948,0 days 00:00:06.615152,7,0.9102361265933461,3,20,142,COMPLETE,"{'mse': 1639.9564367796722, 'rmse': 40.49637560053581, 'mae': 31.06034734237355, 'mdae': 24.338045760297213, 'r2': 0.4510547553643034}","{'mse': 1547.6094038155184, 'rmse': 39.339667052677484, 'mae': 30.611072536688486, 'mdae': 25.46012428483953, 'r2': 0.4359458702947109}","{'mse': 1575.3979650601373, 'rmse': 39.69128323776062, 'mae': 30.964672382828894, 'mdae': 25.33535429538505, 'r2': 0.4327230429114043}","{'mse': 1584.7662151476438, 'rmse': 39.80912226045236, 'mae': 30.945339115751178, 'mdae': 24.590019603812593, 'r2': 0.424244144178754}","{'mse': 1566.3526987332384, 'rmse': 39.57717396092397, 'mae': 30.535466419722965, 'mdae': 24.170820616311204, 'r2': 0.4552761377654796}",1582.8165439072422,39.782724422470054,30.823379559473018,24.778872912129117,0.4398487901029304,34.76494210724713,0.43500205897075034,0.233965688401419,0.5859813791909299,0.012971996220957186
19,39.044571114777625,2024-07-10 21:10:44.130959,2024-07-10 21:10:52.682598,0 days 00:00:08.551639,10,0.7766651028721985,6,17,172,COMPLETE,"{'mse': 1581.699140946249, 'rmse': 39.770581350368126, 'mae': 30.137687470629245, 'mdae': 23.124326259216136, 'r2': 0.4705553133034466}","{'mse': 1486.9304665499214, 'rmse': 38.560737370412426, 'mae': 29.641182243106172, 'mdae': 23.48130700941474, 'r2': 0.45806140220244285}","{'mse': 1532.6556239195584, 'rmse': 39.14914589003901, 'mae': 30.087463209506232, 'mdae': 24.18076283995581, 'r2': 0.44811391287494695}","{'mse': 1509.2538730590695, 'rmse': 38.84911676034694, 'mae': 29.76887679803998, 'mdae': 23.095712738028368, 'r2': 0.45167826835979186}","{'mse': 1512.6867782080915, 'rmse': 38.89327420272163, 'mae': 29.540984333047017, 'mdae': 22.441820516791033, 'r2': 0.4739393082777599}",1524.6451765365778,39.044571114777625,29.83523881086573,23.264785872681216,0.46046964100367765,35.78273670652029,0.4564030560407075,0.26633620905519867,0.63472076775963,0.011389738659110568
20,39.28537154728998,2024-07-10 21:10:52.683598,2024-07-10 21:11:00.056585,0 days 00:00:07.372987,9,0.7001369807180862,6,13,170,COMPLETE,"{'mse': 1590.4648114397867, 'rmse': 39.88063203410631, 'mae': 30.360127238867545, 'mdae': 23.550920469078306, 'r2': 0.46762116638005635}","{'mse': 1503.5496972531546, 'rmse': 38.77563277695355, 'mae': 29.95596292589311, 'mdae': 23.974900507866703, 'r2': 0.4520042241524954}","{'mse': 1556.745402475223, 'rmse': 39.45561306677699, 'mae': 30.50877219388751, 'mdae': 24.190282043504475, 'r2': 0.43943954831495846}","{'mse': 1534.0129001018327, 'rmse': 39.16647673842814, 'mae': 30.198836107611335, 'mdae': 24.002387212812664, 'r2': 0.4426831530752454}","{'mse': 1532.6052965511262, 'rmse': 39.14850312018489, 'mae': 29.927902656003354, 'mdae': 22.941677298023507, 'r2': 0.46701232928344916}",1543.4756215642246,39.28537154728998,30.19032022445257,23.73203350625713,0.4537520842412409,32.34910178832644,0.4111021095843082,0.2520441047050986,0.49988301059798973,0.013215620252575354
21,39.0744342256009,2024-07-10 21:11:00.057583,2024-07-10 21:11:11.376362,0 days 00:00:11.318779,10,0.788474586944839,3,17,235,COMPLETE,"{'mse': 1588.2801433185791, 'rmse': 39.853232532864624, 'mae': 30.21371378421476, 'mdae': 23.282862503924342, 'r2': 0.46835244383923036}","{'mse': 1490.8215448436733, 'rmse': 38.61115829450954, 'mae': 29.672517338256522, 'mdae': 23.290971632779133, 'r2': 0.4566432286147234}","{'mse': 1534.1880373670447, 'rmse': 39.168712480333646, 'mae': 30.08766360721301, 'mdae': 23.783308604749422, 'r2': 0.44756211399188917}","{'mse': 1511.5978937909733, 'rmse': 38.87927331871023, 'mae': 29.756215199580428, 'mdae': 23.320475304189642, 'r2': 0.45082667040820734}","{'mse': 1510.0836287055297, 'rmse': 38.859794501586464, 'mae': 29.53272419063395, 'mdae': 22.541224144000523, 'r2': 0.4748445945853431}",1526.9942496051601,39.0744342256009,29.852566823979735,23.243768437928612,0.45964581028787865,37.547279501800396,0.478068450052981,0.28709684224699245,0.44562105747925185,0.011614828378125766
22,39.08314355678645,2024-07-10 21:11:11.377361,2024-07-10 21:11:15.393698,0 days 00:00:04.016337,10,0.7916478106609857,3,17,76,COMPLETE,"{'mse': 1592.3974464681799, 'rmse': 39.90485492353255, 'mae': 30.229956949730298, 'mdae': 23.198741623207564, 'r2': 0.4669742523616962}","{'mse': 1495.4624161427344, 'rmse': 38.67120913732507, 'mae': 29.72191622455776, 'mdae': 23.82466322552589, 'r2': 0.45495177945758314}","{'mse': 1530.2537017229333, 'rmse': 39.11845730244143, 'mae': 30.047463808134886, 'mdae': 23.78821596291399, 'r2': 0.4489788086949774}","{'mse': 1507.3570336015805, 'rmse': 38.82469618170347, 'mae': 29.689696105898335, 'mdae': 23.413481529723576, 'r2': 0.4523674024508416}","{'mse': 1512.9377308370651, 'rmse': 38.89650023892979, 'mae': 29.542215256386786, 'mdae': 22.404063964384207, 'r2': 0.47385203554193034}",1527.6816657544985,39.08314355678645,29.846249668941613,23.325833261151043,0.45942485570140573,38.28610053580253,0.4867692909882281,0.28289713442035486,0.5779537689402069,0.010536518205895896
23,39.28249348791615,2024-07-10 21:11:15.394696,2024-07-10 21:11:18.092082,0 days 00:00:02.697386,9,0.7709378082447647,4,17,53,COMPLETE,"{'mse': 1597.6487873330545, 'rmse': 39.97059903645496, 'mae': 30.400809311105505, 'mdae': 23.50182740313923, 'r2': 0.46521646262345495}","{'mse': 1504.476170865236, 'rmse': 38.7875775328292, 'mae': 29.951160793622556, 'mdae': 23.7492299373323, 'r2': 0.45166655415277246}","{'mse': 1543.2865627768047, 'rmse': 39.284686110198265, 'mae': 30.42215791048716, 'mdae': 24.458806977851793, 'r2': 0.44428587273544895}","{'mse': 1538.7495064169236, 'rmse': 39.22689774143405, 'mae': 30.184142774924155, 'mdae': 24.01830814970713, 'r2': 0.44096231324627444}","{'mse': 1532.1515127489909, 'rmse': 39.14270701866429, 'mae': 29.906710419778648, 'mdae': 22.936478641745154, 'r2': 0.46717013975967103}",1543.2625080282019,39.28249348791615,30.172996241983604,23.732930221955122,0.45386026850352434,33.93401429765452,0.4304262422688723,0.24198330622572303,0.5692861625764518,0.011926383615111514
24,40.04729473542323,2024-07-10 21:11:18.093084,2024-07-10 21:11:21.362507,0 days 00:00:03.269423,7,0.6884979853831892,8,16,86,COMPLETE,"{'mse': 1652.778718880027, 'rmse': 40.65438129992913, 'mae': 31.213573756369996, 'mdae': 24.692134282113493, 'r2': 0.44676273234069863}","{'mse': 1574.7555420076626, 'rmse': 39.68318966524318, 'mae': 31.015244577527795, 'mdae': 25.62434545001573, 'r2': 0.4260519711525378}","{'mse': 1604.0693805108986, 'rmse': 40.050834953979404, 'mae': 31.3093836334727, 'mdae': 25.672140498383, 'r2': 0.4223989002674152}","{'mse': 1597.7210729194207, 'rmse': 39.97150326069087, 'mae': 31.15611692913695, 'mdae': 24.506525178123695, 'r2': 0.4195375602346124}","{'mse': 1590.1403961052183, 'rmse': 39.87656449727356, 'mae': 30.852912475957336, 'mdae': 24.94133330476523, 'r2': 0.44700359072252416}",1603.8930220846455,40.04729473542323,31.109446274492957,25.087295742680233,0.4323509509435577,29.43663905972115,0.366071131729398,0.17866111741574953,0.5350742561263869,0.013465722558216084
25,39.05891911554753,2024-07-10 21:11:21.363507,2024-07-10 21:11:28.303980,0 days 00:00:06.940473,10,0.7567817729133989,3,13,148,COMPLETE,"{'mse': 1588.7704675818713, 'rmse': 39.859383682915514, 'mae': 30.19727760026194, 'mdae': 22.936554193091858, 'r2': 0.46818831681327566}","{'mse': 1489.206986564238, 'rmse': 38.59024470723447, 'mae': 29.669066071371287, 'mdae': 23.44197914429997, 'r2': 0.457231683468332}","{'mse': 1533.4085451854962, 'rmse': 39.158760771831076, 'mae': 30.100269359309255, 'mdae': 23.88074024431739, 'r2': 0.4478427973256437}","{'mse': 1507.8814182943568, 'rmse': 38.83144883073972, 'mae': 29.6884671317802, 'mdae': 23.19839691399403, 'r2': 0.4521768900871357}","{'mse': 1509.6921869904286, 'rmse': 38.854757585016905, 'mae': 29.509706799664666, 'mdae': 22.26444483415426, 'r2': 0.4749807246172715}",1525.7919209232782,39.05891911554753,29.83295739247747,23.144423065971502,0.4600840824623317,38.54463407390463,0.49086460505107926,0.29850194628164556,0.602326103521232,0.011270509027816537
